source,target
1379485277832441856,1379427980276039680
1379485587908882432,1379485277832441856
1379427980276039680,1379410705305239555
1379455401461157893,1379410705305239555
1379452487518801926,1379410705305239555
1379431006948577280,1379410705305239555
1379427118283563010,1379410705305239555
1379427339222847489,1379427118283563010
1379414827991511040,1379410705305239555
1379413824575520780,1379410705305239555
1379414001998782465,1379413824575520780
1379413896839229445,1379413824575520780
1379412308296757248,1379410705305239555
1379411839918952449,1379410705305239555
1379411719454347264,1379410705305239555
