source,target
1367511958576975876,1367507185522081795
1367512047592869897,1367511958576975876
1367507185522081795,1367478728566145029
1367478728566145029,1367473385937244166
1367506894034731026,1367478728566145029
1367473385937244166,1367469708170194944
1367474310978428929,1367469743528153093
1367469708170194944,1367469348261154826
1367471273224400896,1367469743528153093
1367469348261154826,1367468182794100740
1367468182794100740,1367467739418398722
1367469089862656006,1367468182794100740
1367467960194002944,1367467739418398722
