source,target
1395325107447373825,1395323350260482056
1395328533740670977,1395325107447373825
1395327717776576516,1395323136623579136
1395327103445344259,1395323136623579136
1395325014883201031,1395324889322508291
1395325438419902468,1395325014883201031
1395325294261596160,1395323909159874562
1395323452072992771,1395323136623579136
1395325248111665155,1395323452072992771
1395325214590865410,1395323818751631361
1395323402810892288,1395323136623579136
1395325188292562953,1395323402810892288
1395323863181840390,1395323136623579136
1395325165169352707,1395323863181840390
1395323350260482056,1395323136623579136
1395325068167716865,1395323718570700801
1395324889322508291,1395323136623579136
