source,target
1335970373989507073,1334563311141212164
1432026172263645184,1335970373989507073
1425014463321759748,1335434692141658113
1425045872451244037,1425014463321759748
1335434692141658113,1335426340376481797
1334623955802583041,1334563311141212164
1394579323772973059,1334623955802583041
1334907548928008197,1334883421303271424
1375014227040206848,1334907548928008197
1334570105104199682,1334563311141212164
1351715891575222273,1334570105104199682
1349674844040949760,1335334454605262850
1335027440629010432,1334563311141212164
1348671120698961921,1335027440629010432
1348035612469825541,1334563311141212164
1347739792696598528,1334964200695853056
1334864555156135941,1334563311141212164
1347738515501707264,1334864555156135941
1347511562228133888,1334563311141212164
1335093314375311360,1335068078456102915
1346746097528692743,1335093314375311360
1345625456452587520,1345575023013208064
1345826456962822145,1345625456452587520
1345575023013208064,1345164084333879297
1345164084333879297,1345122144091574273
1335324348933083137,1335151549023076352
1345537289791803394,1335324348933083137
1345122144091574273,1345107655711285248
1345107655711285248,1344994609810833408
1344994609810833408,1344528736172060675
1344469524439994369,1338881820558057472
1342891924626141185,1334570105104199682
1341941133543428097,1335224682711314433
1341954266601304064,1341941133543428097
1335224682711314433,1334789203809497088
1334662114166910977,1334590213620985859
1341118452187209730,1334662114166910977
1341117702916759558,1334563311141212164
1338512778747908096,1334846698141732865
1338277170049933317,1334563311141212164
1338028925516206081,1334791690004131842
1338002308483825664,1334964200695853056
1337788991509327876,1334563311141212164
1337544964100612099,1334563311141212164
1334916441246584832,1334914542808272897
1337493559457447937,1334916441246584832
1337276999530770437,1334840054922031105
1334840412654235649,1334563311141212164
1337196405283295235,1334840412654235649
1334898605459726336,1334648010408665090
1337100166264991755,1334898605459726336
1337093406623891457,1335016687612071937
1337054155375071243,1334563311141212164
1336818414015279105,1335016444556431363
1336859773921357830,1336818414015279105
1336827585091821572,1335163153957740544
1336829540602146816,1336827585091821572
1335163153957740544,1335155523688124416
1336824085456838656,1335010144380325888
1334901890711220224,1334865539177586688
1336823468474703874,1334901890711220224
1334936787790094336,1334936628901662723
1336822022714888193,1334936787790094336
1336821960463044608,1335279861569474562
1336821360803389457,1335248666366521344
1336820134862786564,1335269080325091328
1336820406968315907,1336820134862786564
1335269080325091328,1335254436579581954
1334954652727726084,1334918515157917696
1336819292705337345,1334954652727726084
1336818893206278148,1334956858604474369
1335010416821473285,1334918515157917696
1336818609381912576,1335010416821473285
1335016444556431363,1334918515157917696
1336818179948097537,1334964200695853056
1336757828271345665,1334563311141212164
1336644990932545537,1334563311141212164
1336622564043591680,1334563311141212164
1336609792350105601,1334563311141212164
1336609045201956864,1334563311141212164
1334918850517868545,1334563311141212164
1336412591195893763,1334918850517868545
1336344513355407370,1334563311141212164
1335001026299129858,1334835346761265153
1336341115721531393,1335001026299129858
1336339623744716808,1334603784190881793
1336330959721906179,1334563311141212164
1334895462785146884,1334563311141212164
1336326774028861471,1334895462785146884
1336302097831256066,1334779429067902977
1336293906498121728,1334563311141212164
1336239926413766656,1336205331223949312
1336223191820328960,1334949208609132545
1336223837772509184,1336223191820328960
1336223224032587777,1334846698141732865
1334949208609132545,1334603784190881793
1334850521543434240,1334603784190881793
1336223048236666880,1334850521543434240
1336222966217105408,1334603784190881793
1336202337178820608,1336196440243253249
1336195245260812289,1334563311141212164
1336182474020360192,1336180928763338752
1336169688427008002,1336163278012231680
1336161459374612485,1336097856512544770
1336158356470444032,1334563311141212164
1334795667538137089,1334563311141212164
1336135319004057601,1334795667538137089
1336113377224036353,1334563311141212164
1336084730522071041,1336080640211607552
1336085070403211264,1336084730522071041
1336080640211607552,1335015224437600258
1335015224437600258,1335014645053132802
1336063768258899970,1336055022967263234
1336061723854266370,1336055022967263234
1336054528139988993,1336046779712860166
1335404378656747520,1335373501340020736
1336049865848213504,1335404378656747520
1336029041334366210,1336025680329498624
1336031572261281793,1336029041334366210
1336025680329498624,1335283041787383808
1335283041787383808,1335102359815512064
1336002573019570180,1334603784190881793
1335858144778493952,1335851375046094848
1335997766493990912,1335858144778493952
1335995505147408385,1335286956478042116
1335991478502502401,1335369580659826692
1335985058809868290,1335005308419248129
1335991233370599427,1335985058809868290
1335005308419248129,1334996236865310723
