source,target
1267846740486561792,1267838128406048776
1267847470727532550,1267846740486561792
1267838128406048776,1267779144944934913
1267779144944934913,1267773909304303617
1267773909304303617,1267764331514650624
1267764331514650624,1267760204399161344
1267760204399161344,1267758398503825408
1267758398503825408,1267757232105684992
1267757232105684992,1267754636284395520
1267754636284395520,1267753453692084224
1267753453692084224,1267745932982001664
1267745932982001664,1267741037658877952
1267741037658877952,1267723836751065090
1267723836751065090,1267721538662514688
1267721538662514688,1267717689981755396
1267717689981755396,1267706021306413056
1267706021306413056,1267683262501138433
1267683262501138433,1267603308644110336
1267603308644110336,1267504716059156484
1267504716059156484,1267501559652462592
