source,target
1426995177726660613,1396242374892851203
1397201828039774225,1397200494087622658
1411451235861995527,1397201828039774225
1411451010371948551,1396242374892851203
1398174064233959427,1398129222468739074
1410000564839235587,1398174064233959427
1398170563605008384,1398129568536535040
1410000224152600585,1398170563605008384
1398023727179128834,1397005599230021634
1409999348478398466,1398023727179128834
1403362825490288642,1396242374892851203
1396996863035858945,1396242374892851203
1402425796946505728,1396996863035858945
1397200494087622658,1397199760017305607
1402217499232440323,1397200494087622658
1397178955883556870,1396242374892851203
1402217149079371778,1397178955883556870
1402216952395976709,1396242374892851203
1397205462102298630,1397201828039774225
1401546469065302018,1397205462102298630
1401546263674433537,1396242374892851203
1401505936074756096,1401498752670736386
1400988573671694337,1396242374892851203
1400859197907083265,1398751728133152769
1400880681052479495,1400859197907083265
1400859484621348866,1398751728133152769
1400859968232902666,1400859484621348866
1398751728133152769,1398709239779106817
1400564180466515975,1400561397910716422
1400562362588008454,1400561047535239170
1400561878976319496,1400559623552352259
1400560481740406785,1400559294588796931
1400558855646584837,1400554208588439564
1400556534271201297,1400551448967065601
1400553828697657348,1400549261494964225
1400541589886341123,1396242374892851203
1400537350816608257,1400536549306023938
1400538031640223747,1400537350816608257
1400536549306023938,1400526375359074310
1400479231306518531,1396242374892851203
1400348025185357825,1396242374892851203
1396927117925879809,1396242374892851203
1400161013983592460,1396927117925879809
1397288322016464909,1397286972243288068
1399799483484065800,1397288322016464909
1397317607871717377,1397032606001139712
1399798370051502082,1397317607871717377
1399440509362376705,1396242374892851203
1399421083212816389,1397178955883556870
1399420807034589185,1396242374892851203
1399331877861957634,1398772457000013826
1399332195957940224,1399331877861957634
1398772457000013826,1398729406101733383
1399311104212443147,1397178955883556870
1399228748222849024,1396242374892851203
1399198725331820548,1397178955883556870
1399131114967429120,1396242374892851203
1399100427493314562,1397200494087622658
1399091624517550085,1397201828039774225
1397199760017305607,1397178955883556870
1399087422420393989,1397199760017305607
1396941511280021507,1396242374892851203
1399066619725369344,1396941511280021507
1399050222039453696,1396242374892851203
1398889289648324608,1398803483105583104
1398901849411964928,1398889289648324608
1398808473039745025,1398806969549570050
1398890683939893249,1398889289648324608
1398803483105583104,1398785848632655873
1397543928308633601,1397414403809632256
1398832176251219969,1397543928308633601
1398785848632655873,1398784861566115844
1398801574290497545,1398785848632655873
1398784861566115844,1398784368588513281
1398785630054801411,1398784861566115844
1398784368588513281,1398778116940652548
1398778116940652548,1398772457000013826
1398729406101733383,1398404178398035970
1398467923539341312,1398169280848580610
1398769788621578244,1398467923539341312
1398710173737402368,1398628499108335618
1398753041369686020,1398710173737402368
1398709239779106817,1398626000800468997
1398733780106366976,1397178955883556870
1398733705951145986,1397178955883556870
1398733636480815104,1397178955883556870
1398404178398035970,1398359582179737600
1398628499108335618,1398624322827206658
1398626000800468997,1398623625700335619
1398624322827206658,1397555639262629898
1398623625700335619,1397555639262629898
1397555639262629898,1397543928308633601
1398169280848580610,1398167697805000705
1398434021424705536,1398359244605382659
1398411420442714112,1398404178398035970
1398399509370183682,1398359582179737600
1398351251193094144,1398155123315167236
1398387760084422658,1398351251193094144
1397015247312019459,1396242374892851203
1398387505699901449,1397015247312019459
1398387358274306054,1398358964534972416
1398386489466232834,1398358964534972416
1398386315482251265,1398358964534972416
1398386191913869314,1396242374892851203
1397011530181451778,1396242374892851203
1398381041144958976,1397011530181451778
1398377233954349064,1396242374892851203
1398373129467187201,1397178955883556870
1398364851123200003,1396242374892851203
1398320022834094084,1397203911782584325
1398360392498397185,1398320022834094084
1398355200939724800,1397205462102298630
1398354389786513408,1397199760017305607
1398353709097177089,1397178955883556870
1398155123315167236,1398019825365041157
1398322174503624711,1398019825365041157
1398350703211520000,1398322174503624711
1398344185825071106,1398113649143828480
1398339951578824708,1397555639262629898
1398338388575535111,1397178955883556870
1398019825365041157,1397011530181451778
1397203911782584325,1397180206230634496
1398311903605166083,1396242374892851203
1398310191397965827,1397201828039774225
1398311608191885316,1398310191397965827
1398296739162071046,1396242374892851203
1398294132926271496,1397178955883556870
1398071816627781632,1397570172387479557
1398290726711136260,1398071816627781632
1398290521857183746,1398071816627781632
1398190768611729415,1397185387139829769
1398281730172375043,1398190768611729415
1398261168658173958,1398260783574880261
1398234055070695428,1397178955883556870
1397185387139829769,1397178955883556870
1397319768928047107,1397316505042227206
1398190412393631745,1397319768928047107
1398189478238330885,1397201828039774225
1398189263888347138,1397200494087622658
1398189046392778752,1397199760017305607
1398187257505488899,1397199760017305607
1396217649974099971,1394130218072215556
1398129222468739074,1398023727179128834
1398166422413615106,1397152808722444289
1398170595037257730,1398166422413615106
1398129568536535040,1398023727179128834
1398168723391975427,1397153869004738562
1398169776699150338,1398168723391975427
1398167697805000705,1397153869004738562
1396930324706308102,1396919739293839368
1398168797094236162,1396930324706308102
1397153869004738562,1397143920656752640
1397154615624351744,1397152174283575297
1398167113018265600,1397154615624351744
1397152808722444289,1397143635938918401
1398163780589309953,1397178955883556870
1396964675867267076,1396242374892851203
1398125572824342534,1396964675867267076
1397209468975341585,1397200494087622658
1398111779713060864,1397209468975341585
1398108437108645890,1397178955883556870
1397802524405420034,1397272727350874113
1398105381008642048,1397802524405420034
1397181614824775685,1397178955883556870
1398104917999378433,1397181614824775685
1398025414954696707,1397917775771758604
1398088046235602948,1398025414954696707
1398083872915701766,1398082392364027905
1398084090969182208,1398083872915701766
1398082392364027905,1398081865404366851
1398083197435629575,1398082484441698308
1398083628853338115,1398083197435629575
1398082484441698308,1398081560432238594
1398081560432238594,1398081090007580676
1398081865404366851,1398081419008696320
1398081419008696320,1398081090007580676
1398081090007580676,1398080137707634688
1398080189331017730,1398079369885716482
1398081518946426880,1398080189331017730
1398080137707634688,1398079369885716482
1398079369885716482,1397551936564514820
1397551936564514820,1397448834863837188
1397570172387479557,1397289208625041408
1398070173865742337,1396242374892851203
1398038519046541314,1398023518701461509
1398068621977567242,1398038519046541314
1398066820259713024,1396242374892851203
1398064052077838338,1396930840190459908
1396920029967486978,1396242374892851203
1398063107147276293,1396920029967486978
1397066305950339072,1396936292445872134
1398062931154280455,1397066305950339072
1397215771948847104,1397205462102298630
1398056564846645252,1397215771948847104
1398052003394330624,1396242374892851203
1396943373785657348,1396242374892851203
1398051713152688131,1396943373785657348
1398048806873227265,1398032811567747077
1398050143467933697,1398048806873227265
1398050046449491968,1396943373785657348
1397234238819348483,1397180380336336901
1398049972638011392,1397234238819348483
1398032811567747077,1396998339191844864
1397718763869515781,1397546665092030471
1398043896060522503,1397718763869515781
1398043276352102410,1397718763869515781
1396973911158493195,1396972461334302720
1398042806808162311,1396973911158493195
1398040367727996932,1398040008838291458
1398038990721220611,1398038170407669766
1398023518701461509,1397206971183403012
1398037053951016962,1397181294342197256
1396998339191844864,1396972461334302720
1397186935400054788,1397164567311097857
1398032541672562690,1397186935400054788
1398025846145777664,1397178955883556870
1397005599230021634,1396921079566946312
1398022743841394689,1397234238819348483
1398003128847540226,1396242374892851203
1398002745328685059,1396242374892851203
1397979784311939075,1396242374892851203
1397973930854522884,1396242374892851203
1397973013900021762,1396242374892851203
1397972321982455809,1397178955883556870
1397969995624239107,1397200494087622658
1397968603891212288,1396242374892851203
1397029332841865217,1396242374892851203
1397968006555316224,1397029332841865217
1397962604593647617,1397794056412008448
1397967344819920897,1397962604593647617
1397962164283928580,1397922866868363269
1397964767315300362,1397962164283928580
1397962162702716928,1397473355289219074
1397962736386994184,1397962162702716928
1397794056412008448,1396954520026947585
1397922866868363269,1396954520026947585
1397473355289219074,1396954520026947585
1397961650389454849,1397519947027386370
1397950343363891206,1397178955883556870
1397946529160351746,1397205462102298630
1397024252784779264,1396242374892851203
1397945975721840644,1397024252784779264
1396954520026947585,1396242374892851203
1397912748416065540,1397909602335870977
1397910963509088269,1396242374892851203
1397910790380953602,1396242374892851203
1397897688394321924,1397032606001139712
1397893661904494594,1397205462102298630
1397891718540890116,1397201828039774225
1397889609510514701,1397200494087622658
1397886138661044224,1397178955883556870
1396920809013317633,1396242374892851203
1397878706828419072,1396920809013317633
1397878008740974594,1397032606001139712
1397833244951945216,1397201325730017287
1397874176711663616,1397833244951945216
1396995515657633797,1396242374892851203
1397870668864176133,1396995515657633797
1397870109084073984,1397862460191916034
1396973786063425537,1396972461334302720
1397864011706814469,1396973786063425537
1397847368104611842,1397243598429696005
1397840156288237568,1397243598429696005
1397832875794444291,1396919739293839368
1397832624593383425,1397032606001139712
1397827833603399681,1397181614824775685
1397818287191433224,1396242374892851203
1397815963920343040,1396242374892851203
1396935442264592384,1396242374892851203
1397811651571748864,1396935442264592384
1396928955232526339,1396242374892851203
1397811528003428353,1396928955232526339
1397272727350874113,1396943373785657348
1397801092256129024,1397199760017305607
1397454141971222530,1397205462102298630
1397800339181604866,1397454141971222530
1397799561964441602,1396919739293839368
1397091346964357125,1396928955232526339
1397798160341274626,1397091346964357125
1397798117832003584,1397178955883556870
1397796821519458307,1397243598429696005
1397796718352216066,1397032606001139712
1397796558758985728,1397029332841865217
1397796527184039939,1397015247312019459
1396957797355511810,1396242374892851203
1397795622946803712,1396957797355511810
1397028524519723011,1397012057518714883
1397795212131459072,1397028524519723011
1397188127316455430,1397182283862487045
1397795031868657668,1397188127316455430
1397183778997641219,1397182283862487045
1397794566015787008,1397183778997641219
1397794274754789378,1396242374892851203
1396972996380839938,1396242374892851203
1397793411273461763,1396972996380839938
1397766885387554819,1396242374892851203
1397063731276877832,1396972461334302720
1397765143136591872,1397063731276877832
1397186196321755141,1397185446707404803
1397760648210223105,1397186196321755141
1397037660955234307,1397033221133676545
1397756263350554626,1397037660955234307
1397671243143421955,1397366436943863808
1397743378733830145,1397671243143421955
1397742639622000641,1396242374892851203
1397734379473059842,1397342883330527232
1397274690754916352,1397011530181451778
1397734093991841793,1397274690754916352
1397231637017018371,1396997471528644610
1397733361578348544,1397231637017018371
1397730305386192897,1397062227937554434
1397722176367759362,1397205462102298630
1397157891740667904,1397045298057334785
1397721639387729922,1397157891740667904
1397721216320892928,1397718763869515781
1397546665092030471,1397045298057334785
1397671065699160068,1397203990677495809
1397712761983930370,1397671065699160068
1397708746151890945,1396242374892851203
1397706601742671874,1396242374892851203
1397705245090844675,1396242374892851203
1397591958290407430,1396242374892851203
1397704452132552707,1397591958290407430
1397698443108364291,1397697103057596416
1397699011482583041,1397698443108364291
1397697103057596416,1397695026696757248
1397697749001330688,1397697103057596416
1397695026696757248,1397694382623629317
1397694643152863234,1397693748335845377
1397696230021545985,1397694643152863234
1397695617141444612,1396242374892851203
1397694382623629317,1397693748335845377
1397693748335845377,1397693329572249601
1397693329572249601,1397690556944465930
1397693866526994434,1397693329572249601
1397690556944465930,1397690122582249472
1397690122582249472,1397688900877959175
1397690765053202434,1397690122582249472
1397688900877959175,1397688606848847872
1397689188649164805,1397688606848847872
1397690008207872002,1397689188649164805
1397688606848847872,1397687592309690375
1397687592309690375,1397684357607927809
1397684357607927809,1397683777367810049
1397683777367810049,1397682955724771330
1397682955724771330,1397682671392747520
1397682671392747520,1397682246082039810
1397682246082039810,1397681848990408707
1397681848990408707,1397677275060002821
1397677275060002821,1397676440280178689
1397680263828623361,1396242374892851203
1397676440280178689,1397644587791945728
1397644587791945728,1397635971643056130
1397366436943863808,1397200494087622658
1397203990677495809,1397200494087622658
1397019690019573763,1396242374892851203
1397670911097065480,1397019690019573763
1397670644502994946,1397200494087622658
1397664113032105988,1397663891556012033
1397669029465182217,1397664113032105988
1397663493336322059,1397662352661794819
1397668924246929411,1397663493336322059
1397663891556012033,1397662808062496770
1397662808062496770,1397662619419430920
1397662352661794819,1397661799776989193
1397662619419430920,1397661238944055301
1397661238944055301,1397660916804689927
1397661799776989193,1397660721450729475
1397662072876552195,1397661799776989193
1397660721450729475,1397659852198010893
1397660916804689927,1397660509273530369
1397311478726893569,1397300183965306880
1397661079975739403,1397311478726893569
1397660509273530369,1397659903418843138
1397660895224938496,1397205462102298630
1397659852198010893,1397659571141873664
1397659903418843138,1397659120161918981
1397659120161918981,1397658525543845891
1397659571141873664,1397658175265030145
1397658175265030145,1397657958843101190
1397659041694896129,1397658525543845891
1397659279130234883,1397659041694896129
1397658525543845891,1397657854576893953
1397658983645786121,1397658525543845891
1397657854576893953,1397657557087535107
1397657958843101190,1397657505132695553
1397657505132695553,1397657080698445833
1397657557087535107,1397656957805285376
1397657687870128128,1396242374892851203
1397656957805285376,1397656437019627522
1397657080698445833,1397656142344511499
1397656142344511499,1397655794355773445
1397656437019627522,1397655631872548867
1397648066212159497,1397324513583505408
1397656768919052289,1397648066212159497
1397655631872548867,1397655343715557380
1397655794355773445,1397655594463633411
1397655944524451840,1397655794355773445
1397655594463633411,1397654766046650377
1397655857559752706,1397655594463633411
1397655343715557380,1397654309513437185
1397654766046650377,1397654531488555009
1397654309513437185,1397653971632889864
1397654007347351556,1397653355825188866
1397654956035956739,1397654007347351556
1397654531488555009,1397653971632889864
1397653971632889864,1397652699928317956
1397654360801169409,1396242374892851203
1397653355825188866,1397652262856560642
1397652699928317956,1397652133982445576
1397645657960239106,1397645338085888002
1397653643768254470,1397645657960239106
1397652262856560642,1397651770495619074
1397652133982445576,1397650932431794177
1397652438774165506,1397652133982445576
1397651770495619074,1397651075788849157
1397650932431794177,1397649772576657416
1397651075788849157,1397650344809799687
1397650940577161225,1397650344809799687
1397651392999874568,1397650940577161225
1397651238288756736,1397650940577161225
1397650344809799687,1397649772576657416
1397649772576657416,1397649262675177477
1397649262675177477,1397648199213531139
1397650166199562240,1397649262675177477
1397649685960028163,1397178955883556870
1397648199213531139,1397647726339403780
1397644526341300225,1396933304251822083
1397648796373458947,1397644526341300225
1397647726339403780,1397647549914288128
1397648116250198016,1397644526341300225
1397324513583505408,1397301452666716166
1397648032540368901,1397644526341300225
1397647214076366849,1397645506323570691
1397647865057628160,1397647214076366849
1397647549914288128,1397647013949411328
1397647013949411328,1397646676928737292
1397646553414832128,1397646028527001600
1397647539936145416,1397646553414832128
1397647148800434179,1397646793534590976
1397647482344050692,1397647148800434179
1397647443819483136,1397647148800434179
1397645506323570691,1397645287116705792
1397646793534590976,1397646566803058695
1397646676928737292,1397646566803058695
1397646566803058695,1397646319129350151
1397646319129350151,1397646150279237641
1397646028527001600,1397643372978966530
1397646150279237641,1397645545540366336
1397646373101658113,1397646150279237641
1397645545540366336,1397645369065025541
1397643372978966530,1397642664007319557
1397645338085888002,1397645050939592704
1397645369065025541,1397644902738051072
1397645287116705792,1397643001158045697
1397644902738051072,1397644587791945728
1397645050939592704,1397644587791945728
1397643001158045697,1397642664007319557
1397635971643056130,1397243997744254991
1396933304251822083,1396242374892851203
1397642664007319557,1397641885095694341
1397641885095694341,1397641409339924483
1397641409339924483,1397638702545969158
1397638702545969158,1397189327663386632
1397189327663386632,1397037324563779585
1397637806847975424,1397063731276877832
1397243997744254991,1396919739293839368
1397634100320735236,1396242374892851203
1397633455186448392,1396242374892851203
1397631477911805957,1397015247312019459
1397621422898532355,1397205462102298630
1397249179018276867,1397205462102298630
1397618495559327749,1397249179018276867
1397618185319321603,1397201828039774225
1397614971509301249,1397249179018276867
1397610288296472584,1397311478726893569
1397609225552076800,1396242374892851203
1397609087815258115,1396242374892851203
1397607641669509120,1396242374892851203
1397606396389203970,1396242374892851203
1397593066916167682,1396242374892851203
1397573822283460611,1396242374892851203
1397571133713666051,1396242374892851203
1397289208625041408,1397253439730688005
1396938034302574602,1396242374892851203
1397567662662639619,1396938034302574602
1397558589078790144,1396242374892851203
1397184851468488704,1397123494182367232
1397558406223908864,1397184851468488704
1396961286211125252,1396242374892851203
1397558044519698436,1396961286211125252
1397552626007433219,1397205462102298630
1397552314861379586,1396242374892851203
1397448834863837188,1397289823803777031
1396961858540638208,1396242374892851203
1397549615453556742,1396961858540638208
1397472072847269889,1397301018921144329
1397547890881531910,1397472072847269889
1397301018921144329,1397156827499016193
1397547049697087492,1397301018921144329
1397045298057334785,1396919024680722434
1397545822368174083,1396242374892851203
1397414403809632256,1397205462102298630
1397541542030725123,1396242374892851203
1397537941174562821,1397178955883556870
1397532943501991938,1397523617655758848
1397530874233737222,1397199760017305607
1397523535350976512,1397037660955234307
1397522263981936641,1397521891426983936
1397373885415317506,1397201828039774225
1397521509976006656,1397373885415317506
1397520931405406214,1396242374892851203
1397520801750994946,1396242374892851203
1396952277315833856,1396242374892851203
1397517357543735297,1396952277315833856
1396623280136720391,1395827493815427078
1397506586566877193,1397178955883556870
1397505633520439301,1396242374892851203
1397504704565977088,1396242374892851203
1397495908682530825,1396242374892851203
1397496538310406148,1397495908682530825
1397147908223520770,1396242374892851203
1397493202450518016,1397147908223520770
1397493125849837576,1396242374892851203
1397491059026907141,1396242374892851203
1396983715012694024,1396242374892851203
1397490686035857409,1396983715012694024
1397490563188871168,1396242374892851203
1397489682418601984,1397186196321755141
1397484393967636480,1397480683036151808
1397485728238612480,1397484393967636480
1397480683036151808,1397478398298054659
1397482661082398722,1396242374892851203
1397478398298054659,1397470921854787585
1397470921854787585,1397252397148295176
1397474720761659392,1397015247312019459
1397252397148295176,1397202602555813895
1397305016214462465,1397300528263180293
1397468200191893509,1397305016214462465
1397464219335995396,1396242374892851203
1397463286216601603,1396242374892851203
1397460980007792641,1396242374892851203
1397459534864687104,1396972996380839938
1397458672897437696,1396919739293839368
1397455974261264384,1396242374892851203
1397453426322296834,1397201828039774225
1397453276233228298,1397199760017305607
1397452693757743104,1397178955883556870
1397451988057694211,1396242374892851203
1397289823803777031,1397279283786092544
1397442931175444480,1396242374892851203
1397442746378461187,1396242374892851203
1397439290578251778,1396242374892851203
1397437693559287811,1397200494087622658
1397428158438133761,1396242374892851203
1397427979962159104,1396919739293839368
1397278084932407296,1397015247312019459
