source,target
1389089774900637696,1389088521265221633
1389102044733190144,1389089774900637696
1389088521265221633,1389084038393077763
1389084038393077763,1388363386337910784
1388290027722055680,1388286177082445824
1389083666165370881,1388290027722055680
1388926796134027265,1388899584303263747
1388437121791369217,1387544812413390849
1388560431594287108,1388437121791369217
1387544812413390849,1387516619723784195
1387571808463986691,1387516619723784195
1388435833460514818,1387571808463986691
1388366506820444160,1388363386337910784
1388348661525012481,1388290737956081665
1388363216862912513,1388348661525012481
1388360815636475906,1388348661525012481
1388291175224954888,1388290027722055680
1388360699152257026,1388291175224954888
1388360693238407168,1388348661525012481
1387191112696307714,1387161073363607560
1388349165856378882,1387191112696307714
1388290737956081665,1388290027722055680
1388300452689858561,1388295592959307780
1388300964608630784,1388300452689858561
1388295592959307780,1388294887905370112
1388296698498322442,1388293067640238084
1388300210774806529,1388296698498322442
1388292552026038272,1388289849510268929
1388297681664200713,1388292552026038272
1388293067640238084,1388292874433966083
1388282580550696966,1388280893475889156
1388295831304933376,1388282580550696966
1388294887905370112,1388282840123543553
1388282840123543553,1388282580550696966
1388292874433966083,1388282796481843201
1388293535024263172,1388292874433966083
1388293389272109058,1388292552026038272
1388282796481843201,1388282530088984578
1388292729759703041,1388290027722055680
1388289849510268929,1388288855154077698
1388291838549929984,1388290001859792899
1388292452755202051,1388291838549929984
1388291860146364419,1388291175224954888
1388292245363863558,1388291860146364419
1388292230427860996,1388291838549929984
1388289354171359233,1388289051313147907
1388292089817960453,1388289354171359233
1388290001859792899,1388289849510268929
1388291544223043585,1388290648420196353
1388291784288051200,1388291544223043585
1388291749668392963,1388290737956081665
1388290648420196353,1388290027722055680
1388289056178589702,1388287203663482880
1388291028570959874,1388289056178589702
1388285626353659919,1388284907944882176
1388290221071011841,1388285626353659919
1388286177082445824,1388286049118470152
1388288855154077698,1388288354618331137
1388289752206430209,1388289056178589702
1388289051313147907,1388287709899329538
1388287203663482880,1388286917960216582
1388287709899329538,1388286390904004611
1388288354618331137,1388287709899329538
1388286493668651009,1388286177082445824
1388288203946401794,1388286493668651009
1388286390904004611,1388285615037427713
1388287301776822274,1388286177082445824
1388287469255217153,1388287301776822274
1388287120851148805,1388285615037427713
1388287434522234884,1388287120851148805
1388286917960216582,1388285001578418178
1388285615037427713,1388285149507379203
1388287029243387904,1388286493668651009
1388285001578418178,1388284271115358208
1388285292579368967,1388282777230008322
1388286610978918400,1388285292579368967
1388286051106521088,1388285001578418178
1388286477646266371,1388286051106521088
1388285149507379203,1388284771533430790
1388286277250813958,1388285149507379203
1388286049118470152,1388285796013121537
1388285680745259008,1388284907944882176
1388286119775772673,1388285680745259008
1388285796013121537,1388285557990559749
1388285877957414916,1388285680745259008
1388285557990559749,1388281198347124737
1388284907944882176,1388283789227429890
1388281198347124737,1388280666958090241
1388285463849361408,1388284907944882176
1388282777230008322,1388273457121669120
1388284771533430790,1388284271115358208
1388284271115358208,1388280666958090241
1388284941708906497,1388284271115358208
1388283789227429890,1388283684944584709
1388280666958090241,1388261814794735619
1388273457121669120,1388272375972745220
1388284009537359876,1388273457121669120
1388283684944584709,1388282777230008322
1388283383776567296,1388281198347124737
1388283709585911808,1388283383776567296
1388283292118511616,1388282796481843201
1388282530088984578,1388281788519305226
1388280893475889156,1388279475373330434
1388281788519305226,1388280042916966400
1388280042916966400,1388279676725088257
1388279475373330434,1388278683807494146
1388261814794735619,1388259669488062467
1388279676725088257,1388279226206330883
1388279226206330883,1388277479991910401
1388278683807494146,1388277831797551106
1388279066197909504,1388275911590518784
1388279408704688131,1388279066197909504
1388277479991910401,1388276665424351237
1388275911590518784,1388275414607532032
1388277831797551106,1388277333665239042
1388278259121590282,1388277746485407744
1388278609035419649,1388278259121590282
1388278545714122754,1388278259121590282
1388277746485407744,1388277333665239042
1388277996847472644,1388277469011058689
1388277333665239042,1388275930372747268
1388276665424351237,1388275930372747268
1388275930372747268,1388273697266540547
1388276928038252548,1388276068642025474
1388275526742253569,1388275303244460035
1388276127051837441,1388275526742253569
1388273697266540547,1388271395000360962
1388275414607532032,1388273987155759104
1388274978517303302,1388274191267340288
1388275548758188039,1388274978517303302
1388275303244460035,1388274978517303302
1388273987155759104,1388273697266540547
1388273946479501320,1388270906275995649
1388275353303633928,1388273946479501320
1388274191267340288,1388273697266540547
1388274547523268608,1388274191267340288
1388274932279246851,1388274547523268608
1388270906275995649,1388270191050637318
1388273782809272321,1388273457121669120
1388271395000360962,1388270906275995649
1388272375972745220,1388261814794735619
1388273397809836032,1388272375972745220
1388273126962864130,1388272375972745220
1388272665161474048,1388271812266450948
1388268641708281859,1388268307266953216
1388272109303083012,1388268641708281859
1388271614589116416,1388271395000360962
1388270673504600064,1388270400606400515
1388271238884200448,1388270673504600064
1388270474199769094,1388269745057665024
1388271050975109123,1388270474199769094
1388270191050637318,1388266813063057414
1388270400606400515,1388269745057665024
1388269745057665024,1388269272795729920
1388270259409408009,1388268641708281859
1388266813063057414,1388259669488062467
1388269272795729920,1388268641708281859
1388269664350789633,1388268641708281859
1388268572179374094,1388268397096423424
1388268928204517376,1388268572179374094
1388268307266953216,1388264568145723395
1388268397096423424,1388268307266953216
1388264568145723395,1388263940635860992
1388259669488062467,1388232520421023745
1388263940635860992,1388263418000457730
1388263418000457730,1388261814794735619
1388232520421023745,1388230650818347019
1388230650818347019,1387919885087485960
1387913464581029888,1387864125003403266
1388231777093885952,1387913464581029888
1387919885087485960,1387919254654267393
1387923004324159491,1387920325388681216
1388202073079099395,1387923004324159491
1387925447988686849,1387923004324159491
1388199067277316096,1387925447988686849
1388176742733553673,1387161073363607560
1388166991798849538,1387623071830454274
1388168160222846983,1388166991798849538
1388167612274782214,1388166991798849538
