source,target
1383779188356780044,1382478016920571906
1382867425163575298,1382545782981611527
1382933748333699077,1382867425163575298
1382880679998939140,1382549074809786370
1382885846588690432,1382880679998939140
1382885604443234309,1382478016920571906
1382883119758397443,1382880679998939140
1382549074809786370,1382480957060550659
1382681515881009155,1382629922900996100
1382876296221499395,1382681515881009155
1382874376190664711,1382629922900996100
1382876149345366018,1382874376190664711
1382629922900996100,1382478016920571906
1382873843950292992,1382681515881009155
1382873370207862790,1382478016920571906
1382545782981611527,1382478016920571906
1382867317403525121,1382478016920571906
1382854247243526148,1382478016920571906
1382547325529190402,1382546918409142272
1382823792158810112,1382547325529190402
1382684682563723266,1382682606463029252
1382821072966455298,1382684682563723266
1382819628083138560,1382810842408886275
1382820811296403457,1382819628083138560
1382820477756923904,1382478016920571906
1382810842408886275,1382798322159775745
1382798465609175040,1382742752685871116
1382811295163027456,1382798465609175040
1382798322159775745,1382742752685871116
1382796296289980421,1382742752685871116
1382810218103472128,1382796296289980421
1382796550804537349,1382742752685871116
1382809697640677379,1382796550804537349
1382742752685871116,1382552309700423684
1382798039644000260,1382742752685871116
1382797377963233281,1382742752685871116
1382797068490653704,1382742752685871116
1382796871463276545,1382742752685871116
1382552309700423684,1382478016920571906
1382582948097036288,1382478016920571906
1382742376968548356,1382582948097036288
1382705856865796109,1382566901553922049
1382733665822597121,1382705856865796109
1382606985380519936,1382478016920571906
1382709126451621889,1382606985380519936
1382566901553922049,1382559175125782529
1382580569289150465,1382574427733434368
1382702292168802305,1382580569289150465
1382691797403582473,1382478016920571906
1382690712790130695,1382478016920571906
1382607200888127507,1382478016920571906
1382690294576087042,1382607200888127507
1382688859465613324,1382478016920571906
1382483296114798595,1382478016920571906
1382685556211998723,1382483296114798595
1382682606463029252,1382479895775760386
1382683862786985989,1382478016920571906
1382479895775760386,1382478016920571906
1382567173218967561,1382478016920571906
1382682235959148546,1382567173218967561
1382681099952910343,1382563196196753410
1382682234642120704,1382681099952910343
1382482806786424835,1382478016920571906
1382681774619291650,1382482806786424835
1382681265720107008,1382566901553922049
1382563196196753410,1382478016920571906
1382573340188106752,1382545782981611527
1382680692002283521,1382573340188106752
1382678612969668610,1382545782981611527
1382677648753721344,1382478016920571906
1382674831246757888,1382478016920571906
1382673173913739264,1382478016920571906
1382671488768212996,1382478016920571906
1382671336967872514,1382478016920571906
1382670021508296715,1382478016920571906
1382665572031164426,1382478016920571906
1382654374414016512,1382478016920571906
1382595404487917572,1382478016920571906
1382620593812434944,1382595404487917572
1382620066189959169,1382545782981611527
1382619806210265091,1382478016920571906
1382605722274430977,1382478016920571906
1382592456668090369,1382478016920571906
1382588438835310594,1382478016920571906
1382585639246397441,1382478016920571906
1382574427733434368,1382563196196753410
1382581050849824769,1382574427733434368
1382574443671789568,1382478016920571906
1382573994067496960,1382567173218967561
1382569023397765126,1382478016920571906
1382567815853580288,1382478016920571906
1382559175125782529,1382550766087413760
1382565468066746368,1382478016920571906
1382565419400142848,1382478016920571906
1382560150171570178,1382478016920571906
1382560067807977477,1382478016920571906
1382550766087413760,1382550005680992258
1382559100270170119,1382478016920571906
1382556573311111168,1382478016920571906
1382556364229156864,1382478016920571906
1382554914404978691,1382478016920571906
1382552642602340352,1382547325529190402
1382551962193903621,1382478016920571906
1382551561537130496,1382478016920571906
1382551403147657222,1382478016920571906
1382551351641600000,1382478016920571906
1382551128873766912,1382478016920571906
1382551056308072450,1382545782981611527
1382550005680992258,1382547986383720450
1382550699242786816,1382478016920571906
1382547986383720450,1382545782981611527
1382549522002317314,1382547986383720450
1382549442641874954,1382478016920571906
1382549192590176257,1382478016920571906
1382549138936582144,1382478016920571906
1382480957060550659,1382479895775760386
1382545564571602945,1382478016920571906
1382548500509036545,1382545564571602945
1382547936912011268,1382546133772165121
1382547686667079680,1382478016920571906
1382546121734561793,1382478016920571906
1382547601728401409,1382546121734561793
1382546918409142272,1382545782981611527
1382547098856480768,1382546918409142272
1382546260599709705,1382478016920571906
1382546173622325249,1382478016920571906
1382545841504804864,1382478016920571906
1268336875841953794,1268335848245919751
1382545546045362179,1382478016920571906
1382544975309770753,1382478016920571906
1382543865488371713,1382478016920571906
1382543498897809414,1382478016920571906
1382519944982761476,1382478016920571906
1382483522158477313,1382478016920571906
1382480650603790339,1382478016920571906
1382480000129986561,1382478016920571906
1382478679096328193,1382478016920571906
