source,target
1313190402409758732,1313190075342229505
1320788959698456576,1313190402409758732
1315795938305347598,1313190402409758732
1315772135554650112,1313190402409758732
1315764241979322374,1313190402409758732
1315290259127758851,1313190402409758732
1314342982041169920,1313190402409758732
1313341241606586370,1313340756354949122
1313220671682629632,1313220545375240203
1313243050802655233,1313220671682629632
1313220545375240203,1313220459811438592
1313220459811438592,1313220299802980365
1313220299802980365,1313220074313003010
1313220074313003010,1313219969149267978
1313219969149267978,1313219863884824579
1313219863884824579,1313219773250105346
1313219773250105346,1313190956980678656
1313190956980678656,1313190788843687938
1313194759679336448,1313115331142004736
1313190788843687938,1313190704882110465
1313190704882110465,1313190559113150465
1313190559113150465,1313190402409758732
1313190075342229505,1313189398985441285
1313189398985441285,1313115331142004736
1313135966958292992,1313115331142004736
1313151756474421254,1313135966958292992
1313133486446972929,1313115331142004736
