source,target
1387692944988119043,1387692301095301120
1387694030801174528,1387692944988119043
1387692301095301120,1387691455058087941
1387691455058087941,1387690540947308553
1387690540947308553,1387643498057256963
1387691791059603456,1387690540947308553
1158154858991460353,1158153407762448384
506430028100276224,506429753406926849
1387643498057256963,1387436550934253574
1387523623175393282,1387436550934253574
1387574372529967109,1387523623175393282
1387561631417192451,1387523623175393282
1387457841561182208,1387443465781342209
1387442526475325447,1387441932889063426
1387440284326318088,1387438339209318403
1387439620279787528,1387438339209318403
1387438045125775360,1387436550934253574
