source,target
1368799131360231424,1367957182684233732
1424275731861880832,1368799131360231424
1368127854010109953,1367957182684233732
1424275345579065344,1368127854010109953
1368968111001571333,1368133607877967873
1415136671868223490,1368968111001571333
1415136564192051202,1368968111001571333
1368977745439453185,1367962701616607238
1411784761492770817,1368977745439453185
1367962701616607238,1367879818633691144
1411783928680157187,1367962701616607238
1368001337397481480,1367966855957278727
1411141216754937858,1368001337397481480
1368356644380438528,1368139489630183424
1397969426096533506,1368356644380438528
1396170864371113984,1367962109682716673
1394113910500900871,1394102532801122307
1394113139457892352,1394102854630068227
1394093981278121989,1394075228205199361
1394091723069038597,1394075228205199361
1394005881319219203,1393711616617684996
1394005132271050755,1393711616617684996
1394004667009544196,1393711616617684996
1393646741715566595,1393609846906359817
1390292934948319249,1367879818633691144
1368352886569140224,1367963290140303360
1390016235815964673,1368352886569140224
1389462637927440384,1367879818633691144
1389301919198371842,1367954483330752512
1389303796682031104,1389301919198371842
1368763754394116096,1367954483330752512
1389302433516490753,1368763754394116096
1368226160597999625,1367954483330752512
1389302221440004100,1368226160597999625
1367954483330752512,1367879818633691144
1368400487918297089,1367879818633691144
1388533962956476418,1368400487918297089
1386648351530262529,1368029823679959050
1367963783600111618,1367957182684233732
1386647749240705024,1367963783600111618
1386626151616061445,1386607377399615488
1386637134145150976,1386626151616061445
1386607377399615488,1369434719012720641
1369434719012720641,1368117557874556931
1386609166844825602,1369434719012720641
1382945687801839616,1367879818633691144
1367974761704292355,1367879818633691144
1382097598257909761,1367974761704292355
1380665046557151232,1367879818633691144
1381407311164538881,1380665046557151232
1380666694067175424,1367893093517828105
1380835330589343748,1380666694067175424
1367893093517828105,1367879818633691144
1368203255889625090,1368164185809563649
1380665817881280519,1368203255889625090
1368060313501851648,1368043849415811072
1380315246347366404,1368060313501851648
1380314736101842950,1368060313501851648
1378878143323328516,1367879818633691144
1368632551112384518,1368451601476751360
1378877881884020744,1368632551112384518
1367996811244355588,1367962701616607238
1378875765882765314,1367996811244355588
1378851502245093378,1367879818633691144
1378008777526509573,1367879818633691144
1377789437552234497,1368005118281404419
1368133607877967873,1367963737752240128
1377789330605871120,1368133607877967873
1377789068126220290,1367879818633691144
