source,target
1392731024002408448,1392702906600550401
1393013380886122496,1392731024002408448
1392797630074290178,1392654079810101248
1392822510836613122,1392797630074290178
1392753527563251712,1392732732157927426
1392820012608487424,1392753527563251712
1392819330451001347,1392751922885533699
1392738121570152450,1392720199669850112
1392812764767215623,1392738121570152450
1392654079810101248,1392647815994560513
1392732732157927426,1392703864147615746
1392720199669850112,1392700754788380672
1392736790692327426,1392716646733606914
1392703864147615746,1392628086768693252
1392702906600550401,1392698006604947456
1392702858164768773,1392628086768693252
1392730168007880705,1392702858164768773
1392700754788380672,1392698568448745473
1392678054439256065,1392667224062664704
1392706580324388865,1392678054439256065
1392698006604947456,1392693103388024836
1392698568448745473,1392628086768693252
1392693103388024836,1392688275400187906
1392686924138127364,1392677752059285512
1392695347747581955,1392686924138127364
1392688275400187906,1392685268352729090
1392685268352729090,1392628086768693252
1392677752059285512,1392628086768693252
1392667224062664704,1392656321195909121
1392656321195909121,1392645352847597568
1392661172965445632,1392654547357601795
1392662967624212481,1392661172965445632
1392654547357601795,1392646932028280833
1392653959282581506,1392644477685157888
1392657183674748930,1392653959282581506
1392645352847597568,1392628086768693252
1392649026307166210,1392643313010823170
1392655292714737668,1392649026307166210
1392646932028280833,1392642164924903427
1392647815994560513,1392628086768693252
1392644477685157888,1392641904580259842
1392651757268787200,1392646604495024131
1392643313010823170,1392632892262477831
1392642164924903427,1392631080251920385
1392641904580259842,1392628086768693252
1392632892262477831,1392628086768693252
1392631080251920385,1392628086768693252
1392628546749689862,1392628086768693252
1392630937595236352,1392628546749689862
