source,target
1378712900223836161,1352018409253429250
1377202203891527681,1352018409253429250
1365861852887023618,1352018409253429250
1365831621782347777,1352018409253429250
1365829456837795841,1352018409253429250
1354155159144837120,1353538297297965057
1357475509928624128,1352018409253429250
1356839165762101248,1352018409253429250
1356273442899812356,1352018409253429250
1356103336047603714,1352018409253429250
1355868319933464580,1352018409253429250
1355262603757576197,1352018409253429250
1355247942043635716,1352018409253429250
1354989049245790208,1352018409253429250
1354955894484684802,1354541907326758913
1354536582670331917,1352018409253429250
1354315532304961540,1352018409253429250
1354286856188416001,1352018409253429250
1353756199435472896,1352018409253429250
1353549148482543616,1352018409253429250
1353476627389321216,1352018409253429250
1353138120234070017,1352018409253429250
1352999623938498567,1352018409253429250
1352986207148527621,1352018409253429250
1352841119512600576,1352018409253429250
1352739413176930304,1352018409253429250
1352720613606109188,1352018409253429250
1352682166828888065,1352018409253429250
1352659315299995649,1352018409253429250
1352633688522153993,1352018409253429250
1352624766193172480,1352018409253429250
1346473643266560000,1346198086943711238
1352618136302981121,1352018409253429250
1352618346903171074,1352618136302981121
1352597944567017481,1352018409253429250
1352576097074950144,1352018409253429250
1352478583646793731,1352018409253429250
1352449854933446657,1352018409253429250
1352449154182750209,1352018409253429250
1352408361237667842,1352018409253429250
1352407696008507393,1352018409253429250
1352402575648305153,1352018409253429250
1352401120207974403,1352018409253429250
1352400565070929920,1352018409253429250
1352396325673967618,1352018409253429250
1352394405118930944,1352018409253429250
1352375981785440257,1352018409253429250
1352374203471822851,1352018409253429250
1352367579462053892,1352018409253429250
1352364560804704256,1352018409253429250
1352351746887192577,1352018409253429250
1352349280489648130,1352018409253429250
1352326453929660416,1352018409253429250
1352323826466627588,1352018409253429250
1352303420846329856,1352018409253429250
1352284308673859585,1352018409253429250
1352282723553955841,1352018409253429250
1352275080924049409,1352018409253429250
1352266830015045637,1352018409253429250
1352261380397797376,1352018409253429250
1352260500445405185,1352018409253429250
1352249164780990465,1352018409253429250
1352238293920985091,1352018409253429250
1352236703688364035,1352018409253429250
1352236535907758080,1352018409253429250
1352236248128249856,1352018409253429250
1352213502598017024,1352018409253429250
1352201179556679681,1352018409253429250
1352201094575906817,1352018409253429250
1352198519399079939,1352018409253429250
1352198355636535296,1352018409253429250
1352193861137932288,1352018409253429250
1351357110962049026,1351187866236366850
1352141191823962115,1352018409253429250
1352129595710050305,1352018409253429250
1352124554336878592,1352018409253429250
1351711556958994433,1351598239989030915
1352123444595286017,1352018409253429250
1352122317355298817,1352018409253429250
1352121310567133185,1352018409253429250
1352114674473566211,1352018409253429250
1352112144507154435,1352018409253429250
1352110213529264128,1352018409253429250
1352110181128171521,1352018409253429250
1352109529115332608,1352018409253429250
1352108673133379585,1352018409253429250
1352107651002351617,1352018409253429250
1352107029809262593,1352018409253429250
1352102980233932804,1352018409253429250
1352102116773527552,1352018409253429250
1352100274048004100,1352018409253429250
1352100172243881984,1352018409253429250
1352098891546710016,1352018409253429250
1352097690138664963,1352018409253429250
1352097599231168512,1352018409253429250
1352095916786909184,1352018409253429250
1352086268109328386,1352018409253429250
1352083278707253248,1352018409253429250
1352081968092033026,1352018409253429250
1352080431684833284,1352018409253429250
1352080219151196161,1352018409253429250
1352069898797608963,1352018409253429250
1352065137755217927,1352018409253429250
1352064457552363524,1352018409253429250
1352062885355204609,1352018409253429250
1352060455188115459,1352018409253429250
1352057874911010817,1352018409253429250
1352056916764221441,1352018409253429250
1352056552186929153,1352018409253429250
1352054952861048834,1352018409253429250
1352054581140877313,1352018409253429250
1352051892013166595,1352018409253429250
1352048766715621377,1352018409253429250
1352048604106653698,1352018409253429250
1352047335887536130,1352018409253429250
1352043437344894976,1352018409253429250
1352041805471072258,1352018409253429250
1352040494906429441,1352018409253429250
1352036372266315776,1352018409253429250
1352035080919769090,1352018409253429250
1352033800633671682,1352018409253429250
1352033042509000705,1352018409253429250
1352032984208187394,1352018409253429250
1352032626002055178,1352018409253429250
1352032395323711488,1352018409253429250
1352032384976379905,1352018409253429250
1352031213259784198,1352018409253429250
1352030829531304005,1352018409253429250
1352030376202481665,1352018409253429250
1352029831781777409,1352018409253429250
1352029775779540995,1352018409253429250
1352029018653134848,1352018409253429250
1352028786766848002,1352018409253429250
1352028367315496963,1352018409253429250
1352027571345612801,1352018409253429250
1352027518426099713,1352018409253429250
1352026833500438528,1352018409253429250
1352024883950194691,1351654173469798407
1352024994684030977,1352018409253429250
1352024915608809473,1352018409253429250
1352024575111012352,1352018409253429250
1352023733700014081,1352018409253429250
1352023998838812676,1352023733700014081
1352022898190524420,1352018409253429250
1352021143318917121,1352018409253429250
1352021141100126208,1352018409253429250
1352020216826486791,1352018409253429250
1352020211965288456,1352018409253429250
1352019955789791236,1352018409253429250
1352019610334339074,1352018409253429250
1352018975631282177,1352018409253429250
1352018813227831299,1352018409253429250
1352018526249365506,1352018409253429250
