source,target
1386589661393530880,1386543625664966656
1389414516207890436,1386589661393530880
1389335831014514693,1386542266102190081
1386562165168087040,1386544427905306627
1388701199864672256,1386562165168087040
1387898201643040770,1386542266102190081
1387159862702919680,1386542266102190081
1387139242816544768,1386542266102190081
1387079640611758080,1386542266102190081
1387051118568513550,1386542266102190081
1386933754967560195,1386836282618249220
1387044151879823368,1386933754967560195
1386933487110873100,1386836004179382272
1387043894655733774,1386933487110873100
1386655224786530306,1386653919825235968
1386948954416320515,1386655224786530306
1386642233592582148,1386542266102190081
1386948766926741511,1386642233592582148
1386836282618249220,1386824098395959301
1386836004179382272,1386824291912724480
1386915801102442500,1386542266102190081
1386880936051187714,1386542266102190081
1386824098395959301,1386661263468494851
1386824291912724480,1386744799563116544
1386744799563116544,1386589615587528707
1386661263468494851,1386589615587528707
1386823903989932032,1386770232040120321
1386819124194693120,1386589661393530880
1386823712788340738,1386819124194693120
1386821932994211850,1386542266102190081
1386723413255880705,1386678688239005700
1386810217883705346,1386723413255880705
1386807988342644740,1386542266102190081
1386796270728081408,1386542266102190081
1386771336446500866,1386542266102190081
1386766806124224514,1386542266102190081
1386752658719993857,1386542266102190081
1386589615587528707,1386543380600000519
1386634471802380288,1386542266102190081
1386744173643010050,1386634471802380288
1386743430840152066,1386542266102190081
1386738644392742912,1386542266102190081
1386727684294823937,1386727521018859521
1386728684837654532,1386727684294823937
1386728416846639106,1386542266102190081
1386728254996889613,1386542266102190081
1386727521018859521,1386725632978178052
1386727289652711427,1386726723270717441
1386727393797287941,1386727289652711427
1386727358212853760,1386542266102190081
1386726723270717441,1386725632978178052
1386723166634999810,1386543284529647623
1386725054633893894,1386723166634999810
1386725006563024909,1386542266102190081
1386678688239005700,1386560876832903171
1386543284529647623,1386542266102190081
1386722143870853125,1386720724254081036
1386722572092510208,1386722143870853125
1386720724254081036,1386719760465989633
1386721738906611712,1386542266102190081
1386719760465989633,1386718657837944839
1386720102461100037,1386707353228169217
1386718657837944839,1386717836672966657
1386717836672966657,1386716436731768837
1386716436731768837,1386715767186628612
1386715767186628612,1386715242806358025
1386715242806358025,1386714708632297472
1386715736178143234,1386714391366836227
1386714708632297472,1386713471241310209
1386714194674954246,1386713492330270722
1386715127303507973,1386714194674954246
1386713471241310209,1386713330153295874
1386714497830817794,1386542266102190081
1386713330153295874,1386713112766726147
1386712845585469450,1386712542161088513
1386712752966848528,1386712284672765958
1386711911274893321,1386711530880835584
1386712065528766466,1386711911274893321
1386711530880835584,1386673701765230596
1386711905293815809,1386542266102190081
1386711868983631872,1386711472554844161
1386673701765230596,1386666946335236101
1386711234037305347,1386642233592582148
1386708004649672705,1386542266102190081
1386707056317681665,1386705911935287296
1386707915747233794,1386707056317681665
1386706644713750531,1386705630346502144
1386701103631319042,1386542266102190081
1386699882031984643,1386542266102190081
1386695999272464387,1386642233592582148
1386693936626950149,1386678015199956993
1386695693759307780,1386693936626950149
1386687360037965831,1386642233592582148
1386694263623278594,1386687360037965831
1386678015199956993,1386673147362091008
1386690014461968384,1386542266102190081
1386688990661783554,1386542266102190081
