source,target
1396878168678674432,1396874537518735366
1397178450469867521,1396878168678674432
1397064543591862279,1396874537518735366
1396901538665095173,1396901080299081732
1397032399360385031,1396901538665095173
1397023159589560323,1397022160019931146
1397023655255752708,1397023159589560323
1397022160019931146,1397021841298890753
1397021841298890753,1397020224637997057
1397020224637997057,1396938104829665283
1396938104829665283,1396912327698653184
1396983470719651849,1396982607695462403
1396984691740217348,1396983470719651849
1396982607695462403,1396963279981879296
1396983829630308352,1396982607695462403
1396963279981879296,1396939790776426504
1396911275771301889,1396874537518735366
1396982412891074567,1396911275771301889
1396939790776426504,1396938104829665283
1396942382978019328,1396942208683573248
1396944495581696001,1396942382978019328
1396942208683573248,1396941654993604609
1396941654993604609,1396941387606626304
1396941387606626304,1396940955601801221
1396940955601801221,1396940574888919040
1396940574888919040,1396939616654090248
1396939616654090248,1396938104829665283
1396912327698653184,1396902160990941188
1396914081160892417,1396912217656856581
1396914965697777672,1396914081160892417
1396912217656856581,1396911692240629765
1396902160990941188,1396901742701387780
1396875925246066694,1396875056035221504
1396911692240629765,1396911275771301889
1396901742701387780,1396901538665095173
1396901080299081732,1396895974841147393
1396877861676621828,1396875925246066694
1396901523012075522,1396877861676621828
1396895974841147393,1396874537518735366
1396888850388107265,1396888445180649476
1396889289338859522,1396888850388107265
1396888445180649476,1396888200174477315
1396888200174477315,1396887999766536195
1396887999766536195,1396887332620423180
1396887692126801930,1396887495476973568
1396888163050795013,1396887692126801930
1396887332620423180,1396887129578524682
1396887495476973568,1396887016919293955
1396887596656209923,1396887495476973568
1396887016919293955,1396886821896867841
1396887129578524682,1396886941572816896
1396886941572816896,1396886603428151305
1396886821896867841,1396886554199552006
1396886603428151305,1396886189752324101
1396886554199552006,1396886189752324101
1396886189752324101,1396885958566375426
1396885958566375426,1396885537634623495
1396885537634623495,1396885394591948800
1396885394591948800,1396885131386884098
1396885131386884098,1396884409383489541
1396884409383489541,1396884227740811268
1396883274753056770,1396882840118124548
1396884501851217924,1396883274753056770
1396884227740811268,1396883912148721669
1396883912148721669,1396883712818794496
1396883712818794496,1396883197485404161
1396883197485404161,1396882987317354503
1396882840118124548,1396882318279778314
1396882987317354503,1396882840118124548
1396882318279778314,1396881915957760005
1396881915957760005,1396877864239341572
1396880958788231168,1396878168678674432
1396882209651441669,1396880958788231168
1396877864239341572,1396875654990159874
1396880100205895680,1396875925246066694
1396875940811001858,1396875359392395264
1396879674349953024,1396875940811001858
1396879583799095300,1396874537518735366
1396875654990159874,1396875359392395264
1396875359392395264,1396875056035221504
1396875056035221504,1396874537518735366
1396875488451174405,1396874537518735366
1396875270662000641,1396875056035221504
1396874626219876362,1396874537518735366
