1381002177250988034,https://twitter.com/TWKArtist1/status/1381002177250988034,TWKArtist1,"@nytimes When will Cops get it, that someone in a military uniform outranks them?",0.0
1428945318872182791,https://twitter.com/Strangelove5150/status/1428945318872182791,Strangelove5150,"@TWKArtist1 @nytimes This is not a military dictatorship, you incredible douche.",-0.4201
1380977034898325505,https://twitter.com/CrippledCrackah/status/1380977034898325505,CrippledCrackah,@profaxe @nytimes I'm for justice too. But bankrupting the city will just make things worse. Not better.,-0.7235
1394663700238372866,https://twitter.com/Inphynit/status/1394663700238372866,Inphynit,@CrippledCrackah @profaxe @nytimes Burn,0.0
1387587213681209344,https://twitter.com/_DomanickTaylor/status/1387587213681209344,_DomanickTaylor,@DRH2021 @RevJudyBG @FrankMedbery @nytimes I definitely don’t.,0.4019
1385023202334674946,https://twitter.com/NotYourAvgFam/status/1385023202334674946,NotYourAvgFam,"@CrispenDeLong @timeaccelerates @FrederickEden1 @MiaMoeX @KarynLisignoli @nytimes Cute comeback. Every life is a tragedy, but the grown ups are talking about a systemic issue which goes beyond just the tragedy of a lost life. Sorry for your loss but it doesn’t entitle you to speak ignorantly of larger issues.",-0.9555
1385399702179483649,https://twitter.com/CrispenDeLong/status/1385399702179483649,CrispenDeLong,@NotYourAvgFam @timeaccelerates @FrederickEden1 @MiaMoeX @KarynLisignoli @nytimes It’s important to quit ignoring personal responsibility..that is the problem..police used to be able to come up to a car without worrying about if they will get shot. Or the person that drives drunk instead of running away turns around and takes responsibility. We have lost that,-0.552
1384920615489003521,https://twitter.com/CrispenDeLong/status/1384920615489003521,CrispenDeLong,@NotYourAvgFam @timeaccelerates @FrederickEden1 @MiaMoeX @KarynLisignoli @nytimes Just like the Floyd family didn’t think it was a micro incident..neither do I...how about if your mom or wife or child got removed from this earth...would it be a micro incident...so shut up and go back to the kids table,0.3612
1384838846030942210,https://twitter.com/NotYourAvgFam/status/1384838846030942210,NotYourAvgFam,"@timeaccelerates @CrispenDeLong @FrederickEden1 @MiaMoeX @KarynLisignoli @nytimes We are speaking to a systemic problem when you are bringing up one single example. You can’t compare a micro incident to a larger systemic problem. Also: news flash, even running from the police doesn’t warrant being killed. This isn’t the Wild West.",-0.872
1384603833272344577,https://twitter.com/timeaccelerates/status/1384603833272344577,timeaccelerates,@CrispenDeLong @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes so what about when the police shoot and kill people at disproportionate rates?,-0.7964
1384603327070183425,https://twitter.com/FrankMedbery/status/1384603327070183425,FrankMedbery,"@kurtanglewood @Johnath29747002 @mattwardswoods @nytimes Come on know, all I asked was to see the beginning so I can make an informed decision.",0.0
1384632845256122369,https://twitter.com/kurtanglewood/status/1384632845256122369,kurtanglewood,@FrankMedbery @Johnath29747002 @mattwardswoods @nytimes I wasn’t talking to you,0.0
1384587343886172162,https://twitter.com/CrispenDeLong/status/1384587343886172162,CrispenDeLong,@timeaccelerates @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes You wanna act like you are continuously being shot at..when my mother was actually shot and killed..a lack of morals and home training is the result of people shooting people,0.0516
1382168958074114052,https://twitter.com/kurtanglewood/status/1382168958074114052,kurtanglewood,@Johnath29747002 @mattwardswoods @FrankMedbery @nytimes What if I came up to you and told you to do ten jumping jacks would you do ten jumping jacks,0.0
1384525183474614276,https://twitter.com/timeaccelerates/status/1384525183474614276,timeaccelerates,@CrispenDeLong @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes what was the point of bringing this up?,0.0
1384464723639521280,https://twitter.com/CrispenDeLong/status/1384464723639521280,CrispenDeLong,@timeaccelerates @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes No idea wasn’t there...how hard is it to turn around and put your hands behind your back...,-0.3818
1384525391889584130,https://twitter.com/timeaccelerates/status/1384525391889584130,timeaccelerates,@CrispenDeLong @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes how hard is it to arrest a mass shooter and not people just running away?,-0.4215
1384464725472382978,https://twitter.com/CrispenDeLong/status/1384464725472382978,CrispenDeLong,@timeaccelerates @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes I don’t believe anyone should be shot and killed including my mother but it happened..,-0.4118
1384524934349721602,https://twitter.com/timeaccelerates/status/1384524934349721602,timeaccelerates,@CrispenDeLong @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes how hard is it to not shoot someone?,0.162
1384052433949650956,https://twitter.com/timeaccelerates/status/1384052433949650956,timeaccelerates,"@CrispenDeLong @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes buddy, when did i bring up those two? i said MINORITIES, plural dumbass. you really think every minority out here deserved to be shot?",-0.6072
1384053104061026305,https://twitter.com/timeaccelerates/status/1384053104061026305,timeaccelerates,"@CrispenDeLong @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes and for those two unless they tried to attack the officers or kill people then they shouldn't have been killed either, i don't give a fuck what they were doing if it wasn't actively killing people. they manage to arrest mass shooters, why the fuck can't the just arrest them?",-0.5676
1382670554205990917,https://twitter.com/davenewworld_2/status/1382670554205990917,davenewworld_2,"This happened yesterday in Minnesota, the suspect was a 61-year-old white man fleeing police. He wasn't shot or tased. https://t.co/FEq39kssC9",-0.296
1384181223753273344,https://twitter.com/FacelessTechie/status/1384181223753273344,FacelessTechie,@PreKeepnItReal @KarynLisignoli @DougofGabriola @nytimes For all of you still wondering what white privilege looks like. https://t.co/B06hihKVfw,0.6124
1384181326870290432,https://twitter.com/FacelessTechie/status/1384181326870290432,FacelessTechie,@PreKeepnItReal @KarynLisignoli @DougofGabriola @nytimes https://t.co/w0JKwfbjKt,0.0
1382713697559269380,https://twitter.com/AttorneyCrump/status/1382713697559269380,AttorneyCrump,"This white man was actively resisting police, reaching for his gun, then drove away &amp; was still NOT SHOT BY POLICE. They even kindly asked him to “just please step out of the car.” Imagine if he were Black like #DaunteWright... What would have happened differently? #TwoAmericas https://t.co/SuGPRDUUNL",0.8271
1382011717656276993,https://twitter.com/FacelessTechie/status/1382011717656276993,FacelessTechie,@PreKeepnItReal @KarynLisignoli @DougofGabriola @nytimes Karyn’s privilege is showing. Indeed.,0.3612
1384180077244555269,https://twitter.com/FacelessTechie/status/1384180077244555269,FacelessTechie,"@tara_mellott @ImamAsadZaman @KarynLisignoli @nytimes If you don’t comply you get shot, right? If you endanger others you get shot, right? https://t.co/B06hihKVfw",0.0
1384180178046251013,https://twitter.com/FacelessTechie/status/1384180178046251013,FacelessTechie,@tara_mellott @ImamAsadZaman @KarynLisignoli @nytimes https://t.co/w0JKwfbjKt,0.0
1382021055657734146,https://twitter.com/tara_mellott/status/1382021055657734146,tara_mellott,@ImamAsadZaman @KarynLisignoli @nytimes Please show me where legislation was passed requiring masks?  Where is the law that says I can be arrested for not wearing mouth underwear,-0.2023
1383943448948985864,https://twitter.com/CrispenDeLong/status/1383943448948985864,CrispenDeLong,@timeaccelerates @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes The last 2 shot by police...1 had outstanding warrants and ran...other was shooting at cars and then ran...neither of these individuals were innocent..there are always bad people out there...just don’t be one of them,0.128
1383941871920041991,https://twitter.com/timeaccelerates/status/1383941871920041991,timeaccelerates,"@CrispenDeLong @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes nobody personally shooting at me doesn't mean minorities aren't killed at a higher proportion brainlet. i don't know anybody personally that got covid, by your logic it's not that big a deal right?",0.5559
1383930062295031815,https://twitter.com/CrispenDeLong/status/1383930062295031815,CrispenDeLong,@timeaccelerates @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes Who has personally shot at you lately...maybe you should let people take personal responsibility for their actions,0.0
1382386091093790728,https://twitter.com/timeaccelerates/status/1382386091093790728,timeaccelerates,"@CrispenDeLong @FrederickEden1 @NotYourAvgFam @MiaMoeX @KarynLisignoli @nytimes they are though, not sure where you're getting that they aren't",-0.2411
1381011224385626112,https://twitter.com/KarynLisignoli/status/1381011224385626112,KarynLisignoli,@nytimes Again. Refusing to comply with directives... including not stopping 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,-0.3085
1383924174062702610,https://twitter.com/cassey2408/status/1383924174062702610,cassey2408,@KarynLisignoli @nytimes Totally nonsense!!,-0.554
1381330311515152384,https://twitter.com/LouiesHouse1/status/1381330311515152384,LouiesHouse1,"@KarynLisignoli @nytimes From watching the Derick Chauvin trial these 2 weeks, it seems that 'Training' consists of attending a class, or seminar. The on-the-street training is what's needed for a longer period of time. It's no wonder it all goes wrong in real life!",-0.68
1383923999940378633,https://twitter.com/cassey2408/status/1383923999940378633,cassey2408,@LouiesHouse1 @KarynLisignoli @nytimes They need better training... how was Daunte able to pull away from being handcuffed and get back in his vehicle? Once he was out of the car the door should have closed and car should have been turned of from the beginning,0.4404
1381193474893082628,https://twitter.com/TrevorNorris5/status/1381193474893082628,TrevorNorris5,@itsanillusion2 @knotchoes @justajunkdrawe1 @nytimes Most states say otherwise.,0.0
1383824592351813637,https://twitter.com/CaliPersists/status/1383824592351813637,CaliPersists,@TrevorNorris5 @itsanillusion2 @knotchoes @justajunkdrawe1 @nytimes Go ahead and provide ANY proof of that. Link to ANY state DMV website that specifically requires that a temp paper registration be posted on the OUTSIDE of a vehicle.,0.0
1381034616174297093,https://twitter.com/knotchoes/status/1381034616174297093,knotchoes,@TrevorNorris5 @justajunkdrawe1 @nytimes you're misinformed or just lying. I've purchased a car &amp; had a temp tag in the window before. I see cars on the road with them displayed that way all the time. it is perfectly legal. an internal investigation determined there was no valid basis the cops could provide for the stop,-0.3182
1383824236620353543,https://twitter.com/CaliPersists/status/1383824236620353543,CaliPersists,@knotchoes @TrevorNorris5 @justajunkdrawe1 @nytimes Exactly. I've done the same. The dealer affixes the registration to the INSIDE of a window for the buyer. \n\nAny idiot stealing a car would know to swap in fake plates so as NOT to attract attention.,-0.9044
1381748954929324032,https://twitter.com/TrevorNorris5/status/1381748954929324032,TrevorNorris5,@AirborneMuffins @knotchoes @justajunkdrawe1 @nytimes Nope,0.0
1383823544908324866,https://twitter.com/CaliPersists/status/1383823544908324866,CaliPersists,@TrevorNorris5 @AirborneMuffins @knotchoes @justajunkdrawe1 @nytimes Virginia law requires that the buyer have a copy of the title IN the car. Usually it's attached inside a window so the paper is not damaged or stolen.\nI brought receipts:\nhttps://t.co/509EVKrvnP\nhttps://t.co/r327AZfRqd\nhttps://t.co/r327AZfRqd\nhttps://t.co/egsbcBEd0M,0.3412
1380976395963228171,https://twitter.com/nytimes/status/1380976395963228171,nytimes,"“I’m actively serving this country and this is how you’re going to treat me?” \n\nA U.S. Army lieutenant who is Black and Latino has sued two police officers, saying they assaulted him during a traffic stop in Virginia.\nhttps://t.co/SVEN5hXBCF",-0.1531
1383269298794160134,https://twitter.com/II_UnLiMiT3D_II/status/1383269298794160134,II_UnLiMiT3D_II,@nytimes This 2nd LT is a disgrace to the uniform he wears. Should be decommissioned immediately.,-0.4939
1380992799126917123,https://twitter.com/Rocoje1Rocoje/status/1380992799126917123,Rocoje1Rocoje,"@highspanic @justajunkdrawe1 @nytimes Cops have even told me &amp; others what to do if a cop pulls you over [especially] at night.\nPull into a safe, well-lit, populated place, stay inside your vehicle with your hands on the steering wheel.\n\nExplain the actions of these cops to me?!🙄",0.4926
1383248501534986241,https://twitter.com/justajunkdrawe1/status/1383248501534986241,justajunkdrawe1,@Rocoje1Rocoje @highspanic @nytimes Clearly 👀,0.4019
1383239930218913803,https://twitter.com/dcmusxl/status/1383239930218913803,dcmusxl,@nytimes #Relieve the #Police of their #firearms !,0.4199
1383145669502726144,https://twitter.com/Trew0ne/status/1383145669502726144,Trew0ne,@PeptoPill &gt;literally \n\nYour parents should have aborted you,0.0
1383158824102625287,https://twitter.com/PeptoPill/status/1383158824102625287,PeptoPill,@Trew0ne Sorry how is liking sexualized drawings of animals not “literally” attracted to animals?,0.0176
1383111272326074368,https://twitter.com/PeptoPill/status/1383111272326074368,PeptoPill,"@Trew0ne @ImamAsadZaman @nytimes You are literally attracted to animals, get help.",0.6705
1383045920212742144,https://twitter.com/Trew0ne/status/1383045920212742144,Trew0ne,"@PeptoPill @ImamAsadZaman @nytimes Ok ""new world order"" get help",0.5994
1382757540581154818,https://twitter.com/PeptoPill/status/1382757540581154818,PeptoPill,"@Trew0ne @ImamAsadZaman @nytimes Mentally ill? No I’m pretty sure that’s you, furry.",-0.6517
1382680496165982208,https://twitter.com/Trew0ne/status/1382680496165982208,Trew0ne,@PeptoPill @ImamAsadZaman @nytimes God damn you're mentally ill as well? That's a wombo combo,-0.3182
