source,target
1390831140047556610,1390764974591578114
1390443294262505476,1390380329047822338
1390476456833257473,1390443294262505476
1390461260630724611,1390119185125187586
1390380329047822338,1390379577638326280
1390379418980208642,1390142405282762753
1390417784191033344,1390379418980208642
1390412597254672387,1390142405282762753
1390417638417960960,1390412597254672387
1390142405282762753,1390069600314875906
1390384472315637763,1390328954360238084
1390380558790762496,1390380329047822338
1390379577638326280,1390368653489627136
1390368653489627136,1390363552490401800
1390363552490401800,1390312948384608259
1390312948384608259,1390311072398249989
1390327772749381635,1390308341331632133
1390360838238834690,1390327772749381635
1390335912916267008,1389941583689228289
1390331418102747146,1390102535726419971
1390331295662690307,1390108646336565251
1390331225576022021,1389941583689228289
1390330415949377536,1390327772749381635
1390289208644935686,1389941583689228289
1390330224705871878,1390289208644935686
1390311072398249989,1390290265559162887
1390312065546571778,1390311739766489089
1390312378768805893,1390312065546571778
1390311739766489089,1390311533595537408
1390311533595537408,1390289731850752007
1390289731850752007,1390124122697605122
1390290265559162887,1390289731850752007
1390124122697605122,1390105799570173953
1390103564299735042,1389941583689228289
1390142488338386949,1390103564299735042
1390069600314875906,1390069133304336389
1390131721799077890,1389941583689228289
1390131686764072960,1389941583689228289
1390129515561725959,1389941583689228289
1390127088472973312,1389941583689228289
1390105799570173953,1389941583689228289
1390117555658891264,1389941583689228289
1390115656721440770,1389941583689228289
1390091804213534721,1389941583689228289
1390069133304336389,1390068745024978945
1390068745024978945,1389941583689228289
1390063833260101632,1389941583689228289
