1394015392071180293,https://twitter.com/kathlabean/status/1394015392071180293,kathlabean,@five15design Why weren’t the Greens in that poll? Or were they?,0.0
1394024819855826944,https://twitter.com/five15design/status/1394024819855826944,five15design,@kathlabean Greens 3rd above ACT,0.0
1394024739736145920,https://twitter.com/five15design/status/1394024739736145920,five15design,@kathlabean Yeah just focusing on Collins that graphic.,0.296
1393829243801399299,https://twitter.com/five15design/status/1393829243801399299,five15design,If only I could laugh about it. https://t.co/WjVgRx89M6,0.5574
1393799642928713729,https://twitter.com/we_dollar/status/1393799642928713729,we_dollar,@five15design @NZNationalParty Nice return by Ngāi Tahu! It's about governance not ownership.,0.4753
1394000065543376901,https://twitter.com/1anonymousbloke/status/1394000065543376901,1anonymousbloke,"@we_dollar @five15design @NZNationalParty Ownership is an issue, just not in the direction Collins is pointing:\n\n""a safeguard against any future government that wants to privatise the waters assets""",0.5106
1393798131645489152,https://twitter.com/1anonymousbloke/status/1393798131645489152,1anonymousbloke,"@tauhenare @five15design @NZNationalParty She's certainly getting traction with it. Not enough to win in 2023, maybe enough for Labour to require confidence &amp; supply from the Greens...\n\n...and for Collins to cling onto the leader's salary.",0.3875
1393994081412386819,https://twitter.com/1anonymousbloke/status/1393994081412386819,1anonymousbloke,"@tauhenare @five15design @NZNationalParty How refreshing to be wrong about this. No traction, no poll bump.",-0.5286
1393841653002080265,https://twitter.com/RataMiller/status/1393841653002080265,RataMiller,@five15design Ahh yes the true blue working class men who think that they work harder than anyone else and women belong in their place.\n\nComparably Australia has some of their finest examples running their country atm....,0.6705
1393841909450166278,https://twitter.com/five15design/status/1393841909450166278,five15design,@RataMiller &amp; what that country's old boys network did to Julia Gillard will never be forgiven.,-0.2924
1393830768883892226,https://twitter.com/five15design/status/1393830768883892226,five15design,@RataMiller I would be to as a conservative voter...\n\nMind you I think that may be some inherent misogyny in the fan base me thinks?,0.3182
