source,target
1359712137120202754,1359384885732007941
1359680386402578438,1359384885732007941
1359664506608246785,1359384885732007941
1359557962340200452,1359384885732007941
1359387303500800001,1359384885732007941
1359504738560192515,1359387303500800001
1359497670432149507,1359384885732007941
1359461017789599749,1359384885732007941
1359475196374220800,1359461017789599749
1359473820936060931,1359384885732007941
1359400809176457217,1359384885732007941
1359397461853356032,1359384885732007941
1359387962539204617,1359384885732007941
1359387830812893184,1359384885732007941
