source,target
1382077745144991748,1382076563739512834
1382084597828182029,1382077745144991748
1382076563739512834,1382074572682506241
1382077192289542146,1382076563739512834
1382058616363089929,1380636124595507205
1382076144686628865,1382058616363089929
1380636124595507205,1380634742194905094
1380804755212152833,1380608843869216770
1380634742194905094,1380632652349386759
1380610154861826054,1380608843869216770
1380634805029761029,1380610154861826054
1380632652349386759,1380626007455981570
1380628937923960832,1380608843869216770
1380611473521700874,1380608843869216770
