source,target
1383593348368240643,1359930765442748417
1359952653174910976,1359952142090571781
1383447213792129027,1359952653174910976
1360950175322288129,1360849625184432128
1360952077720170498,1360950175322288129
1360950303735054336,1360950175322288129
1360849625184432128,1360730032633761795
1360730032633761795,1360723851496345610
1360743315768029184,1360730032633761795
1360723851496345610,1359960735191859203
1359960735191859203,1359909891389853697
1360609026598440966,1359954599176777734
1360660129234976768,1360609026598440966
1360321900023578629,1360235299004166147
1360323118116470786,1360321900023578629
1360235299004166147,1360222824909205506
1360319741236240385,1360217309999161346
1360286716066750470,1360142663270490114
1360316170528841730,1360286716066750470
1360142663270490114,1360025318300467204
1360285775993180160,1360142663270490114
1360285441518370822,1360142663270490114
1360277779690962946,1360173115041591296
1360258294380691460,1359909891389853697
1360222824909205506,1359945391605768192
1360221526537211906,1359941777587855365
1360233404495708162,1360221526537211906
1360229847960875010,1359909891389853697
1360228189721755648,1360208654323101696
1360224563628544004,1359925363191803906
1360224275995783176,1360219866909843456
1360222377267896323,1360220212109393929
1360223277541707779,1360222377267896323
1360221725582106624,1360219866909843456
1359941777587855365,1359941081928974337
1360221075729219593,1360219866909843456
1360220897823649794,1360219866909843456
1360220031653707776,1360217134740234242
1360219120244043778,1360217134740234242
1359943613782896642,1359941178314133510
1360216696196395008,1359943613782896642
1360216477706633217,1360215996112531456
1360215468875931649,1360212951446278144
1360215126914260993,1360212951446278144
1360212573241696263,1360053482670092289
1360212089193836545,1359948621786013697
1360205238272155652,1359909891389853697
1360203795611926533,1359909891389853697
1360203271961538562,1359909891389853697
1360203221491453952,1359909891389853697
1360202883002695681,1359909891389853697
1360098082608807938,1359968847932121088
1360148747485929472,1360098082608807938
1360147507385409539,1360098082608807938
1360025318300467204,1359883510249586689
1360138757895241728,1360029223277199360
1360140813427240961,1360138757895241728
1360027271483056136,1359990595490635787
1360139555605782528,1360027271483056136
1360029223277199360,1359983190492995584
1360137996662636550,1360027271483056136
1360137590540824577,1360027271483056136
1360133283653296130,1360059491463680004
1360048216692121603,1360047679527669763
1360132472676249601,1360048216692121603
1360130275892748292,1360128598649298944
1359960445067657225,1359959089116295168
1360128252052983808,1359960445067657225
1360127962662731776,1359959278774288400
1360115864561979392,1359909891389853697
1359976344860393479,1359909891389853697
1360106693338804225,1359976344860393479
1359968847932121088,1359966201372422145
1360074301156786179,1359992268346843142
1359934419293863936,1359909891389853697
1360059289113624577,1359934419293863936
1360053134589112320,1360051633124687872
1360053905313460224,1360053134589112320
1360051633124687872,1360050477916913668
1360050477916913668,1360048216692121603
1360050695098032128,1360048216692121603
1360048453414494219,1360046765408452612
1360050419330920448,1360048453414494219
1360046765408452612,1360045377618145282
1360047679527669763,1360045377618145282
1360045377618145282,1360041598063685639
1360041598063685639,1360039326684446728
1360039326684446728,1360037188763869184
1360037188763869184,1360025318300467204
1359890362005864457,1359887026372431872
1360033355325128705,1359890362005864457
1359647869343576065,1359575781534404608
1360032420406448130,1359647869343576065
1359983190492995584,1359982297697710081
1359883510249586689,1359655879927291907
1360009919638994953,1359926435280994306
1359992595523526659,1359973257701699647
1359988692660740098,1359987779346845701
1359991317208645635,1359988692660740098
1359990605171089412,1359988692660740098
1359990229160103940,1359987709612277761
1359990044610674689,1359983190492995584
1359985421531439111,1359960287231832067
1359989066822004736,1359985421531439111
1359988729008521218,1359983190492995584
1359987779346845701,1359970141375787008
1359970141375787008,1359968445891284994
1359987190642671622,1359985932481527809
1359986995506917379,1359968445891284994
1359986289379016708,1359964875901046791
1359986037594980357,1359961427990228992
1359887026372431872,1359883510249586689
1359984412025376770,1359887026372431872
1359984138837753858,1359981029977714690
1359983905416347648,1359655879927291907
1359983322999496710,1359658180675002368
1359982297697710081,1359909891389853697
1359982792478720004,1359647869343576065
1359980426568286209,1359979465531682817
1359942909773176832,1359942391524974596
1359980094266220544,1359942909773176832
1359979191593283589,1359978481531162629
1359978264249393153,1359908312469315584
1359977592670019588,1359973257701699647
1359952805486866435,1359928970960130050
1359976800739328005,1359952805486866435
1359975149936771073,1359647869343576065
1359970952843517953,1359969062529470464
1359973519057182722,1359970952843517953
1359970788909195274,1359969280822026244
1359971983606378497,1359970788909195274
1359969062529470464,1359968952269553673
1359969383364321281,1359968847932121088
1359968952269553673,1359953831145201668
1359966201372422145,1359909891389853697
1359967497580077062,1359909891389853697
1359967074672664579,1359966424828162048
1359936737468948481,1359936119647961092
1359966473289097220,1359936737468948481
1359966166836510722,1359965429410766849
1359965826791661573,1359964875901046791
1359964119626096641,1359963049290063872
1359963097746800641,1359961386055573513
1359962644711669765,1359961427990228992
1359962202078330881,1359925363191803906
1359961460181397506,1359960287231832067
1359961064012709898,1359960287231832067
1359959089116295168,1359943948488364033
1359959694048174081,1359953831145201668
1359960419448807428,1359959694048174081
1359943948488364033,1359943613782896642
1359958389162393601,1359953831145201668
1359957509394563081,1359954150033920005
1359953649586360323,1359951040028823554
1359928970960130050,1359925363191803906
1359952713040207872,1359950701900795910
1359952142090571781,1359951460893622273
1359952647592280067,1359925363191803906
1359951460893622273,1359950295304912900
1359950295304912900,1359949877493514240
1359950586033102858,1359909891389853697
1359949877493514240,1359883510249586689
1359950074382589956,1359948661447397384
1359949516342968328,1359948661447397384
1359949378941812739,1359947878756732937
1359947250466754561,1359946450067730432
1359946082013347844,1359945259627778059
1359946805526614017,1359946082013347844
1359946476273741826,1359946082013347844
1359946399899676675,1359945391605768192
1359944555961982979,1359944000459874305
1359944446717034496,1359909891389853697
1359943793953366027,1359943200794947585
1359944197617442818,1359943793953366027
1359943200794947585,1359942242358722563
1359941178314133510,1359938579263275009
1359943555691782168,1359908312469315584
1359942242358722563,1359941777587855365
1359942391524974596,1359934419293863936
1359941081928974337,1359939210124345351
1359941869891956737,1359941081928974337
1359938579263275009,1359935846707847177
1359939808005660673,1359938579263275009
1359938970478641153,1359937922670219264
1359935846707847177,1359934419293863936
1359936119647961092,1359935224927449089
1359936518626885639,1359935846707847177
1359935224927449089,1359934419293863936
1359637291753422854,1359575781534404608
1359935875908571136,1359637291753422854
1359935701870141443,1359935315843104781
1359934425442713609,1359933036490616832
1359929538822737921,1359928837988040710
1359934191807455237,1359929538822737921
1359931029121884164,1359909891389853697
1359934016665907208,1359931029121884164
1359932945218338820,1359931988162052098
1359933247816421377,1359932945218338820
1359931988162052098,1359930502342443013
1359929673434734595,1359928606097629188
1359930984775442437,1359929673434734595
1359930451327123459,1359929541431619585
1359929858143494148,1359929538822737921
1359930312780877825,1359929858143494148
1359930130576138243,1359929541431619585
1359928606097629188,1359909139296776197
1359928837988040710,1359927918269505538
1359927918269505538,1359927452534009857
1359909139296776197,1359908312469315584
1359927452534009857,1359925410432188420
1359925410432188420,1359923049143828480
