source,target
1394703115727904778,1394571050113982465
1394692804039876622,1394573644517548037
1394700744675188744,1394692804039876622
1394573644517548037,1394571050113982465
1394690126396248064,1394571050113982465
1394669805484007425,1394659532534652929
1394676565921914888,1394669805484007425
1394675292891979776,1394571050113982465
1394673279512743936,1394571050113982465
1394672911466876935,1394571050113982465
1394659532534652929,1394571050113982465
1394663264135565313,1394571050113982465
1394575625080410112,1394571050113982465
1394663025324568579,1394575625080410112
1394659611219841025,1394575625080410112
1394586933980979201,1394571050113982465
