source,target
1318985817285627905,1318985068858249216
1319004983610671106,1318985817285627905
1319004841289510912,1318986307956133888
1318980613895049218,1318980491001868293
1319004673009799168,1318980613895049218
1318986127815135234,1318985925637165056
1318985396659826688,1318984873168769024
1318985867957096456,1318985396659826688
1318985068858249216,1318984732277936129
1318985123187068930,1318984677114449920
1318985746670301184,1318985123187068930
1318985065548910594,1318984949253492736
1318985725598105611,1318985065548910594
1318985660469043202,1318985055222534145
1318985526783991808,1318980613895049218
1318985458081288204,1318984904277970950
1318985010079293446,1318984529244246016
1318985440624578562,1318985010079293446
1318985352204472320,1318984904277970950
1318984859155615749,1318984552686170112
1318985337725747200,1318984859155615749
1318985248206655490,1318984747742265345
1318984879955185670,1318984418313293824
1318985231999946754,1318984879955185670
1318985200018378753,1318985010079293446
1318984732277936129,1318984337660940288
1318984949253492736,1318984502828584960
1318984529244246016,1318984392828686336
1318984418313293824,1318984337660940288
1318984552686170112,1318984211215355909
1318984369328054276,1318984066885165061
1318984817141288960,1318984369328054276
1318984663835332612,1318984300142993409
1318984392828686336,1318983831286915072
1318984467160104961,1318984162481758209
1318983831286915072,1318983531142459399
1318984066885165061,1318982982942773249
1318984331461857282,1318983869715173387
1318984099961470977,1318983697731899395
1318984209277571077,1318984099961470977
1318984116763766786,1318983940565356546
1318983697731899395,1318983160860901377
1318983791143256064,1318983697731899395
1318983126589255680,1318982907822809091
1318983776312135683,1318983126589255680
1318983482064908298,1318983188086181890
1318982150524444672,1318982078717960196
1318982764214046720,1318982150524444672
1318982713936928769,1318982449133768704
1318982630658945024,1318982436827561984
1318982078717960196,1318981995079270400
1318981995079270400,1318981612772724736
1318981443247345665,1318981127634325505
1318981731077230593,1318981443247345665
1318981673220964358,1318981410296942594
1318981127634325505,1318980979185324039
1318981406966620161,1318981263806681089
1318981196936871937,1318981017613500421
1318980979185324039,1318980481212436481
1318980481212436481,1318980254170517504
1318980491001868293,1318980237686984707
1318980237686984707,1318979767530606592
1318980254170517504,1318979767530606592
1318980367718678528,1318980237686984707
1318979767530606592,1318979358355300353
1318979358355300353,1318972516929622016
1318972516929622016,1318971648079441922
1318973816207441922,1318973544236277764
1318974018045857793,1318973816207441922
1318971784503447553,1318971648079441922
