source,target
684856881362382848,684577769049702402
684758540917977088,684548462638198784
684758255604596736,684548462638198784
684758016235679745,684547864375209984
684757796911353856,684548783317905408
684757466765107200,684548783317905408
684757171393843202,684548783317905408
684756683776655362,684548783317905408
684756429434044416,684548783317905408
684756193743470592,684548783317905408
684755760077619202,684548783317905408
684755355432124420,684550455813390336
684755169179897857,684550455813390336
684754989877600256,684550798253133824
684754720779448320,684551191091646464
684754587530559488,684551191091646464
684720679917191168,684540982210211840
684461231650951168,684404953931247616
684460193174831104,684405459399372800
684459546694164480,684404574292164608
684459332478615552,684404953931247616
684458996883836928,684405131639713796
684458817015300096,684405459399372800
684458557798875136,684405459399372800
684458416715083776,684405459399372800
684401010312282113,684147591139966977
684400680837058560,684147591139966977
684399981956997120,684185994913005568
684399596680777728,684221113224663040
684399339750330370,684221113224663040
684398914464710656,684221113224663040
684398666623258625,684221113224663040
684398412725223424,684221113224663040
684398030452166661,684221113224663040
684397818455326721,684221113224663040
684397506784964608,684221113224663040
684397254254276608,684221113224663040
684396940717506560,684221113224663040
684396702460084224,684221113224663040
684383174219042816,684149261588643840
684382970820472834,684149587649687552
684382633707483136,684149587649687552
684382140738347008,684148235649335296
684382031703179264,684147274583269376
684381533193420800,684148663619325960
684381318222708736,684148663619325960
684380999845687297,684148988468195328
684380587465900032,684148988468195328
684380183583834114,684150968305475585
684379829030883329,684150968305475585
684379527544344576,684186312870641665
684379210496884736,684186312870641665
684147656071905280,684140079959420928
684147218912165888,684140493702299649
684146969149702145,684140493702299649
684146531943882752,684138146586558464
684146402000150529,684138146586558464
684146154397827072,684138146586558464
684145501097218048,684138002730381312
684041722301554689,684037056612401152
684041702051459072,684037056612401152
684041240443092992,684037056612401152
684041063212789760,684037056612401152
684040683481530368,684037056612401152
684040217246830592,684036567300730880
684039959326494721,684036567300730880
684039725141770240,684036733365796864
684039534896517120,684037056612401152
684035969419358208,683994815076278273
684035758026428416,683994815076278273
683802457470717952,683801383833858048
683802170118963200,683801383833858048
683786873874038784,683766376339656704
683798393630502912,683786873874038784
683797911621128193,683786199631290369
683777897115418624,683771401673785344
683777172998209537,683771401673785344
683768736956968960,683766807455371264
683768509608800257,683766807455371264
683767583368085504,683766807455371264
