source,target
1385526638264430595,1385260451815165952
1385500220985860103,1385260451815165952
1385482085792718848,1385260451815165952
1385457427647287296,1385260451815165952
1385455164467949570,1385260451815165952
1385444821448417280,1385260451815165952
1385432757225070593,1385260451815165952
1385414377407488005,1385260451815165952
1385402855348228096,1385260451815165952
1385361724933558280,1385260451815165952
1385317816753135619,1385260451815165952
1385315111276011528,1385260451815165952
1385312032036204544,1385260451815165952
1385300972315062275,1385260451815165952
1385295087257767942,1385283588573310980
1385293116626939907,1385260451815165952
1385261452001517574,1385260451815165952
1385290784770043906,1385261452001517574
1385285262503186435,1385260451815165952
1385284817605046275,1385260451815165952
1385278593262043136,1385260451815165952
1385277682598961153,1385260451815165952
1385275504761221125,1385260451815165952
1385273540585345028,1385260451815165952
1385272150102319108,1385260451815165952
1385272136521166852,1385260451815165952
1385272096603914244,1385260451815165952
1385271359379492867,1385260451815165952
1385269014872592384,1385260451815165952
1385267406474461189,1385260451815165952
1385262366091321346,1385260451815165952
