source,target
1395063923993452549,1395062501310701569
1430126752542588938,1395063923993452549
1395167417655914496,1395062501310701569
1412435806648639490,1395167417655914496
1395257441122615297,1395062501310701569
1411274444266360834,1395257441122615297
1395278647284600843,1395062501310701569
1408806048568287236,1395278647284600843
1405819760479289347,1395062501310701569
1405816860650708997,1395062501310701569
1405816731579387908,1395062501310701569
1395202011860070400,1395062501310701569
1405756847621951490,1395202011860070400
1405468567860961282,1395062501310701569
1404906983308865541,1395062501310701569
1395469735161073664,1395063923993452549
1404486295901069321,1395469735161073664
1395150994263089153,1395110341814755328
1402214217000751105,1395150994263089153
1401227864507359236,1395062501310701569
1400367470834241539,1395062501310701569
1398911568138620932,1395062501310701569
1399013810959126531,1398911568138620932
1399003903883161609,1395062501310701569
1398932576664961032,1395062501310701569
1398912137284759557,1395062501310701569
1398905988107935753,1395062501310701569
1395167805557796865,1395062501310701569
1397870677533724674,1395167805557796865
1395231298868834305,1395062501310701569
1397817403329810432,1395231298868834305
1397816080215678977,1395062501310701569
1397815876053737473,1395248419212464129
1395151487764819970,1395062501310701569
1397814285410082816,1395151487764819970
1397769443837575168,1395278647284600843
1397752082304671750,1395257441122615297
1395229493543981056,1395062501310701569
1397237521961074689,1395229493543981056
1397220317588824064,1395062501310701569
1397189596576952327,1395394965035945988
1397188651902193673,1395062501310701569
1397124140235173893,1395062501310701569
1397107455096627200,1395062501310701569
1397099318385934336,1395062501310701569
1395237089881509889,1395062501310701569
1396989132786835461,1395062501310701569
1396989790399221761,1396989132786835461
1396984028134363143,1395062501310701569
1396984904139870209,1396984028134363143
1396955868025946113,1396955335408209927
1396955577046102018,1396955335408209927
1396955191031652355,1396954286756700161
1396951972050132992,1396871927134830594
1396866260495998980,1395062501310701569
1396858790536957952,1395062501310701569
1395080104888344576,1395062501310701569
1396810055790456832,1395080104888344576
1396796751743488000,1395062501310701569
1396790332092788743,1395062501310701569
1395373405323497478,1395181700980912131
1396781520128397314,1395373405323497478
1396769534867120135,1395062501310701569
1395215409540833288,1395062501310701569
1396758280253284360,1395215409540833288
1396756496789106690,1395365824882376704
1395254843267194883,1395202011860070400
1396754687521554432,1395254843267194883
1395381557448253444,1395128482082918404
1396753322883698688,1395381557448253444
1396742491265662976,1395062501310701569
1396730230090473472,1395062501310701569
1395739297999990790,1395403841588404229
1396722811721355264,1395739297999990790
1396721563882381321,1395062501310701569
1396695290221146112,1395062501310701569
1396667023657218048,1395377237466173446
1396693977454284804,1396667023657218048
1396692056207085570,1395062501310701569
1395377237466173446,1395124276550848516
1396666751778279428,1395062501310701569
1395205998361518082,1395062501310701569
1396649553487486980,1395205998361518082
1396639342567768066,1395062501310701569
1396638368025481218,1395062501310701569
1396625335060295685,1395062501310701569
1396608591671529474,1395062501310701569
1396607131193774082,1395062501310701569
1396598517305470977,1395062501310701569
1396595159656239108,1396593977017700352
1396595784255168515,1396595159656239108
1396593977017700352,1396592145260240901
1396592145260240901,1396591854079053827
1396591854079053827,1396588652608860169
1396592410038349825,1396591854079053827
1396591145501839367,1396588652608860169
1396592185836019718,1396591145501839367
1396588652608860169,1396588117944111108
1396591850333655041,1396591145501839367
1396588117944111108,1396586304238915585
1396586304238915585,1396585628939206659
1396586312606625794,1395062501310701569
1396585628939206659,1396584515133394951
1396585657628250113,1395062501310701569
1396584515133394951,1396566057071091717
1396566057071091717,1396549015123152901
1396549015123152901,1396547540099735557
1396478678519980036,1396477457029636098
1396560829026344963,1396478678519980036
1396554103489237010,1395062501310701569
1396547540099735557,1395062501310701569
1396523676086964232,1395062501310701569
1396493180154093571,1395062501310701569
1396477457029636098,1396469865515470854
1396469865515470854,1396464949426282496
1396475791425294340,1395062501310701569
1396474601148985344,1396469865515470854
1395107389347713027,1395062501310701569
1396470481646129155,1395107389347713027
1395068072671784960,1395062501310701569
1396469962584301568,1395068072671784960
1396464949426282496,1395062501310701569
1395200689983393803,1395062501310701569
1396469521825898501,1395200689983393803
1396464728336048135,1395062501310701569
1280463009081700353,1280457747708784640
1395292941791465472,1395062501310701569
1396461602958974977,1395292941791465472
1396459536148439043,1395062501310701569
1395691832009396224,1395363998049124358
1396422013904904193,1395691832009396224
1396402143632891908,1395062501310701569
1396382579830312964,1395618872791732224
1396380239698153472,1395167805557796865
1396379474980073476,1395167805557796865
1395606589302738945,1395583381753061376
1396248919097548802,1395606589302738945
1396164309294612480,1395062501310701569
1396129042252713986,1395062501310701569
1396106186173288450,1395062501310701569
1396103469472223237,1395062501310701569
1396098584362242049,1395062501310701569
1396093414710591489,1395062501310701569
1396080989252857856,1395062501310701569
1396079054080692226,1395062501310701569
1396075567984775169,1395062501310701569
1396075252493389825,1395062501310701569
1395218600441520131,1395174380855078912
1396062370011619329,1395218600441520131
1396060706366271490,1395062501310701569
1396056472602173442,1395062501310701569
1395618424693399552,1395345794899890176
1396041355298840577,1395618424693399552
1396040108600483840,1395080104888344576
1396040013507219461,1395062501310701569
1396039733998809094,1395062501310701569
1396039380536492033,1395062501310701569
1395402359275069442,1395062501310701569
1396005623301480448,1395402359275069442
1395342439100010498,1395274844141350914
1396000589746630656,1395342439100010498
