source,target
1380701155391496192,1380700836494520321
1380700864571006976,1380699931065913347
1380700491001208833,1380699758763909121
1380700042579697671,1380697336574263298
1380699875268947971,1380697620859981826
1380699635509993473,1380698699412701185
1380699334182756354,1380698190605918209
1380696945572777984,1380692675335225347
1380697886107693058,1380696945572777984
1380697700492972034,1380691648947089411
1380697331675242498,1380696945572777984
1380696415400161281,1380695068483457025
1380696298874003458,1380695252563062786
1380695802213847048,1380694617738379266
1380694824475455490,1380692449539031041
1380694388481818628,1380694116258836482
1380694528722542596,1380694388481818628
1380694116258836482,1380691905042915329
1380691049698357249,1380687902691180546
1380690425854353411,1380688314106327044
1380689727058145284,1380688895067705348
1380680462604017664,1380678374021079040
1380679644223918082,1380678545605812225
1380679150680166402,1380678128520007684
1380679023475322884,1380677894343688192
1380677870519951363,1380675711644659720
1380676429520592896,1380675711644659720
1380676008764829700,1380675483659075585
1380675790082170880,1380674800348188677
1380675359281086471,1380674800348188677
1380674937044660225,1380673994077134849
1380673399819624450,1380671042734149633
1380673943321780225,1380673399819624450
1380670251314995201,1380669385170358273
1380670619344273418,1380670251314995201
1380669791627739137,1380669023210385410
1380668783484829698,1380666817325248516
1380669008534331393,1380668783484829698
1380668124475760642,1380666367309922305
1380667305521123328,1380666114544386049
1380667566100729859,1380667305521123328
1380666508062257152,1380665939910332422
1380666017320378370,1380665457724784640
1380665678361817088,1380664581312368651
1380665047773376512,1380664298486312961
1380664759956119552,1380663518341562374
1380663893861625856,1380662958938677249
1380664199756406786,1380663893861625856
1380662958938677249,1380661774387703809
1380661153517334530,1380659755698507782
1380659390458425346,1380650371526361088
1380657768009330689,1380657011965239297
1380656612856098821,1380656040837054465
1380656464558125056,1380655999023976451
1380655941280956416,1380655412211548160
1380652255968251905,1380651518630707206
1380655644718493696,1380652255968251905
1380655041783066626,1380653748855398400
1380653231542394880,1380652712518422528
1380651518630707206,1380649632141742082
1380649632141742082,1380590802339045378
1380590802339045378,1380563091809701895
1380648003287982081,1380590802339045378
1380563091809701895,1380560496873586690
1380562854898622465,1380560796019724293
