source,target
1390689493045456898,1390132892886577152
1390731048972128257,1390689493045456898
1390132892886577152,1389984417809014786
1390051556058300416,1390004229754920961
1390689376594710532,1390051556058300416
1390688748061569028,1389984417809014786
1390447162153005058,1390127052859211778
1390469698307858433,1390447162153005058
1390465430091825156,1390447162153005058
1390287965071544320,1390051495303864322
1390448601801887753,1390287965071544320
1390127052859211778,1390090252702810113
1390075288210616321,1390071936080875527
1390410619145310212,1390075288210616321
1390036852560654336,1390032568876158979
1390357577465171970,1390036852560654336
1390351360453844993,1389984417809014786
1390031564793339905,1389984417809014786
1390346245458251780,1390031564793339905
1390331603725930497,1389984417809014786
1390328525220028418,1389984417809014786
1390000393430597634,1389984417809014786
1390288834613727236,1390000393430597634
1390004229754920961,1389984417809014786
1390288574487142400,1390004229754920961
1390051495303864322,1390043981224939520
1390009987980795911,1390009419551944709
1390286987161182208,1390009987980795911
1390166415223689218,1389984417809014786
1390277032609730562,1390166415223689218
1390264375836041218,1389984417809014786
1390260443751534593,1390075349606834177
1390241844278153218,1389984417809014786
1390218020249690112,1389984417809014786
1390209553078304768,1390075288210616321
1390190762298544128,1389984417809014786
1390157861112664073,1390157463576530945
1390170489394548739,1390157861112664073
1390158151912202240,1390157861112664073
1390157463576530945,1390057462561132545
1390057462561132545,1389984417809014786
1390145977701392386,1390041128372785161
1390148343989297153,1390145977701392386
1390041128372785161,1390040577283182595
1390015310229475328,1389984417809014786
1390143263357685760,1390015310229475328
1390090252702810113,1389984417809014786
1390122624928423937,1389984417809014786
1390112212237365254,1389984417809014786
1390111734162206723,1389984417809014786
1390110116263956484,1389984417809014786
1390100045396074498,1389984417809014786
1390099063736053764,1390051495303864322
1390098364721614850,1390000393430597634
1390095242699935754,1389984417809014786
1390095429950398471,1390095242699935754
1390091525820801025,1390054243780923393
1390094318845800451,1390091525820801025
1390054243780923393,1390052251545358337
1390090615766069254,1389984417809014786
1390090296462032903,1390090016446197765
1390086977765003264,1389984417809014786
1390089298066747395,1390086977765003264
1390086530165874689,1390000393430597634
1390081048420044803,1389984417809014786
1390076040853082116,1389984417809014786
1390071936080875527,1389984417809014786
1390064435461509120,1390064018895695876
1390063497745248259,1390062913587716096
1390064203332001800,1390063497745248259
1389994772866109443,1389984417809014786
1390063931935268865,1389994772866109443
1390062913587716096,1390062417388974083
1390062417388974083,1390061626703892486
1390061626703892486,1390061045515968514
1390061045515968514,1389984417809014786
1390059530906656769,1389984417809014786
1390060557882073093,1390059530906656769
1390060553440305160,1390000393430597634
1390060160861757440,1389984417809014786
1390059636900966402,1390058526605774856
1390059758330200064,1390059636900966402
1390058526605774856,1390058123465957380
1390059190891188227,1389984417809014786
1390058123465957380,1390009987980795911
1390058420653363203,1389984417809014786
1390057895685939206,1390054243780923393
1390056281071837185,1389984417809014786
1390052251545358337,1390051495303864322
1390053103207165957,1390051556058300416
1390043981224939520,1389984417809014786
1390050408018497536,1389984417809014786
1390049193687801858,1389984417809014786
1390040577283182595,1390040093751119876
1390040093751119876,1390039151857201152
1390039151857201152,1390038588201578500
1390038588201578500,1390036852560654336
1390032568876158979,1389984417809014786
1390027778448400392,1389984417809014786
1390026763518955521,1389984417809014786
1390011009067360256,1390010862723813377
1390011672295723011,1390011009067360256
1390011625197932552,1390011009067360256
1390010978855698436,1390009419551944709
1390011092789866499,1390010978855698436
1390010862723813377,1390010577125142530
1390009419551944709,1389984417809014786
1390010890209177608,1389984417809014786
1390010577125142530,1390009987980795911
1390009876349263874,1390009107998908416
1390010243237568513,1390009876349263874
1390009107998908416,1389984417809014786
1390007916183257088,1390006872061538307
1390008393931182084,1390007916183257088
1390006963400941570,1390006686555856902
1390004998998736896,1389984417809014786
1390004622182412290,1390004229754920961
1390003364419706880,1390002790320181248
1390002556592590851,1389984417809014786
1390000798835175426,1390000393430597634
1390000985448214531,1390000798835175426
1390000857563947012,1389984417809014786
1389999044873756675,1389984417809014786
1389998959532249088,1389997983194771458
1389990183429459972,1389984417809014786
1389997500015185920,1389990183429459972
1389996595140173826,1389984417809014786
1389986556165849088,1389985075761123334
1389984877232197632,1389984417809014786
