source,target
1372631852721311751,1272770109606473732
1272874662641500160,1272770109606473732
1365458290176634885,1272874662641500160
1365456402253307909,1272770109606473732
1361717069444603905,1272770109606473732
1361734108733444096,1361717069444603905
1341875845728747521,1273052962659749888
1341875734021861379,1272774641505927168
1329856284770906114,1272770109606473732
1317213426171617280,1272770109606473732
1310240170772516864,1272770109606473732
1273244946712211456,1273243831643918336
1308348211405434881,1273244946712211456
1273243248891441152,1272923691416985605
1308347813013655554,1273243248891441152
1308347586269642753,1273243248891441152
1308347003429154816,1273244946712211456
1273023227711959043,1272940329570832385
1301394246533079041,1273023227711959043
1301393252923453441,1273023227711959043
1272925381658505217,1272771006722007041
1301391795075547136,1272925381658505217
1301391455920029697,1272874083961769984
1273712444679106563,1272895085924007936
1301391018298953728,1273712444679106563
1301390410846269440,1272770109606473732
1273107903751303169,1272874662641500160
1300420003443990529,1273107903751303169
1300419681740894213,1273107903751303169
1300290585388101632,1274008033811673089
1300417714398298112,1300290585388101632
1300292395272228864,1272770109606473732
1300291387548606464,1272770109606473732
1274008033811673089,1273993871345795072
1298451092104261634,1272770109606473732
1291336896086515714,1272770109606473732
1273100007651135492,1272770109606473732
1287721307027775488,1273100007651135492
1281589831294955521,1272770109606473732
1280626428296511488,1272770109606473732
1273032377279881216,1273005680237195266
1280588780370563074,1273032377279881216
1280164738966716416,1272770109606473732
1272771008508772354,1272770109606473732
1280098660081115136,1272771008508772354
1280096688636559360,1272770109606473732
1280071092804214786,1279923495242268672
1279919711757746178,1279882986255716358
1279867617885458432,1279853639713128448
1279819973993603075,1279514725370519552
1278895973616541696,1272770109606473732
1278710356035207175,1272770109606473732
1278406816183939072,1272770109606473732
1272843759835807744,1272770109606473732
1278381170120486914,1272843759835807744
1273025504661176321,1272843759835807744
1278370064186605569,1273025504661176321
1278369015161896965,1273025504661176321
1278368296379863040,1272843759835807744
1278344202234011648,1272770109606473732
1278158741725118470,1272839033916399617
1277776595890114562,1272770109606473732
1277744821864726532,1272770109606473732
1277684042905903104,1272770109606473732
1273127345180868612,1272943119810670593
1277094487144247296,1273127345180868612
1277036056601407494,1272770109606473732
1276985473345425419,1272770109606473732
1276963697659953152,1272770109606473732
1276934737257476097,1272770109606473732
1276837647378505734,1272770109606473732
1276757818251423747,1272770109606473732
