source,target
1400958561774030848,1394874872375898119
1394879260955844609,1394877440120348679
1400958076983791626,1394879260955844609
1395424365349457920,1394881148308709380
1397632161562324994,1395424365349457920
1397020424978919424,1394874872375898119
1395444393419620360,1394920313188622337
1396597158569152515,1395444393419620360
1396587082131283971,1396584138568732673
1395424593066676232,1394881148308709380
1396488772628275203,1395424593066676232
1395834499812917248,1394874872375898119
1395794138906378244,1394879260955844609
1394886960708165634,1394879260955844609
1395792814898810880,1394886960708165634
1395792754911813641,1394879260955844609
1394875536007069696,1394874872375898119
1395761363918622727,1394875536007069696
1395084991604875266,1394879260955844609
1395734146429894656,1395084991604875266
1395734104977645570,1394879260955844609
1394909454424965123,1394907160308424708
1395610988586491907,1395609741833904132
1395612722495115264,1395610988586491907
1395612097371729922,1395610988586491907
1395609741833904132,1395588878564618241
1395588878564618241,1395535392900747267
1395602869701595138,1395596002925551618
1395606051962060801,1395602869701595138
1395603554618859541,1395596002925551618
1395605902435049472,1395603554618859541
1395605880582803457,1394879260955844609
1395596002925551618,1395532645333803008
1395600907555860483,1394879260955844609
1395596360603209732,1395596002925551618
1395532645333803008,1395532572076085248
1395532774530981889,1395144856444358660
1395595685588733953,1395532774530981889
1395594615479148544,1395509316086468608
1395595055306575872,1395594615479148544
1395509316086468608,1394876086157135874
1395593622007865344,1395592245294911495
1395594001638596611,1395593622007865344
1395592245294911495,1395435649738493955
1395435649738493955,1395423555018399746
1395553112601939971,1394897593516249089
1395589175810822149,1395553112601939971
1395535392900747267,1394876086157135874
1394897593516249089,1394896811664445440
1394876086157135874,1394875536007069696
1395144856444358660,1395144535764652035
1395532572076085248,1394876086157135874
1394899563966722048,1394879260955844609
1395518156618166275,1394899563966722048
1395514504163696642,1395049116506345473
1395430700782800897,1395430285819346956
1395513959961174024,1395430700782800897
1394900097419423746,1394879260955844609
1395513408179499011,1394900097419423746
1395512667842912256,1394885990603362307
1395512876958326784,1395512667842912256
1394885990603362307,1394883444484677632
1395511266601365504,1394879260955844609
1395460589871198210,1394879260955844609
1395458685787377664,1395450846607863812
1395459687764553728,1395458685787377664
1395450846607863812,1395450548875268100
1395450548875268100,1395449927795298304
1395449927795298304,1395436428062912512
1395436428062912512,1395419409494073346
1395419409494073346,1394902438881075201
1395446177819242500,1395419409494073346
1394920313188622337,1394874872375898119
1395441417661546496,1395440472034746368
1395442288910692352,1395441417661546496
1395441476960624645,1395440745566195718
1395441926434820096,1395441476960624645
1395440745566195718,1395440472034746368
1395440472034746368,1395418429738287106
1395441155945361413,1394874872375898119
1395418429738287106,1394896030756343811
1395437832164892674,1394879260955844609
1395423555018399746,1394876086157135874
1395430285819346956,1394900097419423746
1395429046528348162,1394874872375898119
1395427340059090946,1394879260955844609
1394877440120348679,1394876524998758405
1395427318659571718,1394877440120348679
1395426644257513474,1394874872375898119
1395426345056829447,1394874872375898119
1394876524998758405,1394874872375898119
1395426172272484352,1394876524998758405
1395425235495645187,1394879260955844609
1395424868384997377,1394874872375898119
1395424677380583430,1394874872375898119
1394881148308709380,1394876577087819779
1395424358965805056,1394879260955844609
1394881215421837312,1394879260955844609
1395424302883692547,1394881215421837312
1395424028089720833,1394879260955844609
1395423707724533763,1394879260955844609
1395423385845260291,1394874872375898119
1395423402454765573,1394881148308709380
1395423002347540480,1394879260955844609
1395422404243976202,1394879260955844609
1395421766323900416,1394876524998758405
1395421736351371267,1394876524998758405
1395419604927746050,1394879260955844609
1394902438881075201,1394901997459939330
1395417964560617472,1395144856444358660
1395419332402769923,1395417964560617472
1394896030756343811,1394894180711759873
1395215819848654849,1394876524998758405
1395152486919376896,1395144856444358660
1395151308584226816,1394874872375898119
1395144535764652035,1394876086157135874
1395142488759836672,1394876524998758405
1395143033490841600,1395142488759836672
1394896597968834567,1394877825254002688
1395130564991090689,1394896597968834567
1395119745234444291,1395021394413453315
1395120257954578432,1395119745234444291
1395021394413453315,1395019319499640839
1395085404466937858,1394879260955844609
1395083916894220292,1394879260955844609
1395082904431071233,1394874872375898119
1395079887619170305,1394874872375898119
1394898610525937665,1394896597968834567
1395079331676770306,1394898610525937665
1395074987002765317,1394898610525937665
1395070744007122944,1394898610525937665
1395070043596099585,1394879260955844609
1394908050096418826,1394874872375898119
1395065447343562755,1394908050096418826
1395058443635945477,1394879260955844609
1395044646477352961,1394879260955844609
1395043317096714240,1394874872375898119
1395041267495489538,1394879260955844609
1394883444484677632,1394879260955844609
1395034812528750594,1394883444484677632
1395034502225747968,1394874872375898119
1395033099877027840,1394874872375898119
1395026592514985993,1394874872375898119
1395024688741376001,1395021394413453315
1395022268649070592,1394879260955844609
1395021481604644870,1394879260955844609
1395019319499640839,1394910246716416001
1395019870731964419,1394879260955844609
1394910246716416001,1394909742510661633
1394981832106680322,1394874872375898119
1394952035154288643,1394879260955844609
1394925575861637121,1394898610525937665
1394921429871722497,1394896433673691144
1394925059270012933,1394921429871722497
1394896433673691144,1394896030756343811
1394907230747594755,1394903646404419585
1394918437525155844,1394907230747594755
1394918017453027335,1394879260955844609
1394915262495805446,1394879260955844609
1394914765948932096,1394874872375898119
1394911279312109569,1394910246716416001
1394912471345815576,1394911279312109569
1394910644676087814,1394879260955844609
1394909742510661633,1394909454424965123
1394910011323654148,1394909454424965123
1394896421971660800,1394879260955844609
1394909582565117953,1394896421971660800
1394907160308424708,1394906920524271619
1394908880015003648,1394906060930965504
1394907568984641536,1394907230747594755
1394903646404419585,1394892645936164865
1394906920524271619,1394903011860779009
1394903011860779009,1394902438881075201
1394906536506392577,1394874872375898119
1394894692366503939,1394879260955844609
1394905336264364034,1394894692366503939
1394892645936164865,1394879260955844609
1394901997459939330,1394901563286622208
1394901563286622208,1394899537836216327
1394899537836216327,1394899246239809537
1394900013721944064,1394879260955844609
1394899246239809537,1394897720599474176
1394899330524319745,1394897318629974018
1394897720599474176,1394897593516249089
1394898712644620291,1394897720599474176
1394899172487163906,1394898712644620291
1394899118296682502,1394897720599474176
1394896811664445440,1394896030756343811
1394877825254002688,1394877661319602178
1394894180711759873,1394885923435814919
1394894490767294464,1394879260955844609
1394885923435814919,1394876194940588032
1394894122834485250,1394879260955844609
1394890721014943745,1394889046128676870
1394891112020541440,1394890721014943745
1394889046128676870,1394888285915209728
1394889717850677248,1394879260955844609
1394888285915209728,1394887536556666883
1394887536556666883,1394886830818951169
1394888259713392641,1394874872375898119
1394887689539756034,1394876524998758405
1394886830818951169,1394876086157135874
1394887465291292673,1394879260955844609
1394887421829935105,1394879260955844609
1394887311049986050,1394879260955844609
1394886965212835843,1394879260955844609
1394886901719396356,1394879260955844609
1394886809646108675,1394874872375898119
1394886358775132161,1394879260955844609
1394886256195117056,1394878518752776195
1394883121225420800,1394874872375898119
1394886108085821440,1394883121225420800
1394876194940588032,1394876086157135874
1394884457908170753,1394879260955844609
1394883309834891265,1394874872375898119
1394882765108125703,1394874872375898119
1394882085232418820,1394875536007069696
1394881887089270785,1394875536007069696
1394881728766910466,1394881215421837312
1394881637205245955,1394879260955844609
1394881213232340995,1394875536007069696
1394876577087819779,1394874872375898119
1394879897458266112,1394874872375898119
1394877661319602178,1394874872375898119
1394875376061485057,1394874872375898119
1394875654844256258,1394875376061485057
1394875653443309569,1394875376061485057
