source,target
1299804756622405633,1298894279365087233
1299352583556009986,1298894279365087233
1299347652124053504,1298894279365087233
1299339097648050177,1298894279365087233
1299337659438043137,1298942906070437890
1298947047454699523,1298894279365087233
1299337574952173569,1298947047454699523
1298938505889021953,1298894279365087233
1299337492903100416,1298938505889021953
1298932606696857600,1298894279365087233
1299337380416155648,1298932606696857600
1298989102147047426,1298894279365087233
1299337253345517568,1298989102147047426
1298910899764260864,1298894279365087233
1299337186697977856,1298910899764260864
1299091798141202434,1298894279365087233
1299337074764644352,1299091798141202434
1299033692233498624,1298894279365087233
1299337001624363010,1299033692233498624
1298928227684175872,1298894279365087233
1299336942581100546,1298928227684175872
1298928880917544960,1298894279365087233
1299336868031606784,1298928880917544960
1298904139129389058,1298894279365087233
1299336717946716160,1298904139129389058
1298962610914824194,1298894279365087233
1299336679476678661,1298962610914824194
1298921161166934016,1298894279365087233
1299336546106118144,1298921161166934016
1299326276965208064,1298894279365087233
1299324092026363904,1298894279365087233
1299237703763009536,1299033328566317061
1299282579577876481,1299237703763009536
1299033328566317061,1299023686356422657
1299119979942510594,1298894279365087233
1299077818828103697,1298894279365087233
1299074607559958528,1298894279365087233
1298989080995274754,1298902828673576960
1299071937344352258,1298989080995274754
1299064242973241344,1298894279365087233
1299064471336312837,1299064242973241344
1299064339253456896,1299064242973241344
1299064299353026560,1299064242973241344
1299064275445534720,1299064242973241344
1299046486899122176,1298894279365087233
1299016610339000323,1298894279365087233
1299033794268278785,1299016610339000323
1299023686356422657,1298894279365087233
1299024503176146945,1299023686356422657
1299018260323631105,1298894279365087233
1298990271313584128,1298919737364275201
1299013889527611392,1298990271313584128
1299008533262929922,1298894279365087233
1299003272695443458,1298894279365087233
1298998353527582726,1298894279365087233
1298998330115018753,1298894279365087233
1298998306371022849,1298894279365087233
1298998282341892099,1298894279365087233
1298992458110394369,1298990877730172931
1298992559922929668,1298992458110394369
1298990877730172931,1298919612655038465
1298991241061834761,1298904806900109312
1298992150512689156,1298991241061834761
1298904806900109312,1298894279365087233
1298919612655038465,1298894279365087233
1298921073052979201,1298894279365087233
1298990875020673026,1298921073052979201
1298953720097431559,1298894279365087233
1298990495482261505,1298953720097431559
1298919737364275201,1298894279365087233
1298990067667447810,1298894279365087233
1298902828673576960,1298894279365087233
1298982294787510282,1298894279365087233
1298972105699192837,1298894279365087233
1298971137163096064,1298894279365087233
1298969220512972800,1298894279365087233
1298968595867697159,1298894279365087233
1298955660621688832,1298894279365087233
1298953479705096193,1298894279365087233
1298949022955327488,1298894279365087233
1298947449139101698,1298894279365087233
1298945800450514945,1298894279365087233
1298940112882069504,1298894279365087233
1298927135550328833,1298894279365087233
1298924756276858880,1298894279365087233
1298921178023833600,1298894279365087233
1298916709714325504,1298894279365087233
1298913935391944705,1298894279365087233
1298898776053239808,1298894279365087233
1298912758646206465,1298898776053239808
1298908511057960960,1298894279365087233
1298907091164442624,1298894279365087233
1298906980430442497,1298894279365087233
1298906300399656960,1298894279365087233
1298902429753323520,1298894279365087233
1298901220480835586,1298894279365087233
1298901114331500544,1298894279365087233
1298900689805074435,1298894279365087233
1298899271224352768,1298894279365087233
1298898559052517376,1298894279365087233
1298898501611352065,1298894279365087233
1298897953650872320,1298894279365087233
1298897160319139840,1298894279365087233
1298897052903104512,1298894279365087233
1298896546050834432,1298894279365087233
1298896079195443200,1298894279365087233
1298895898056028165,1298894279365087233
1298895643126247424,1298894279365087233
1298895456794222592,1298894279365087233
1298894980577189888,1298894279365087233
