source,target
1385256831107289092,1385244481059016708
1385291262199218184,1385256831107289092
1385257856828538881,1385256831107289092
1385244481059016708,1385237290121764869
1385237290121764869,1385235617810984960
1385237963588743173,1385235617810984960
1385244022592217088,1385237963588743173
1385235617810984960,1385234460745031683
1385237651347890180,1385235617810984960
1385237382748942341,1385235617810984960
1385234460745031683,1385232534863335424
1385232534863335424,1385033132877955074
1385235068009000962,1385232534863335424
1385234860504240132,1385232534863335424
1385230841656188935,1385033132877955074
1385045560122613763,1385033132877955074
