source,target
1386087095144435712,1384771105064431617
1385209297802567692,1384771105064431617
1384783859435376640,1384771105064431617
1384998486165295108,1384783859435376640
1384980254347853824,1384776499123871747
1384981232946135042,1384980254347853824
1384776499123871747,1384772351129268225
1384979388253442049,1384771105064431617
1384969729132142601,1384783859435376640
1384777196116619265,1384776499123871747
1384904547995463684,1384777196116619265
1384878048101687303,1384877551051493378
1384888456367644677,1384878048101687303
1384881951690088448,1384881528652681223
1384881091257978882,1384880709203107845
1384881212054024194,1384881091257978882
1384877551051493378,1384817625281224705
1384817625281224705,1384777196116619265
1384828884055699456,1384771105064431617
1384875213171662856,1384828884055699456
1384851252144640003,1384777196116619265
1384773719579664384,1384771847607263233
1384830042232983553,1384773719579664384
1384828217387896834,1384771105064431617
1384825985464508416,1384773719579664384
1384772351129268225,1384771105064431617
1384821803193933824,1384772351129268225
1384819793224667140,1384771105064431617
1384805055451254785,1384795073972473857
1384805341037219842,1384805055451254785
1384795073972473857,1384777196116619265
1384791048094982145,1384772351129268225
1384777806748557312,1384772351129268225
1384771847607263233,1384771105064431617
