source,target
1393253175017164800,1393246224841515016
1393250388984229888,1393246224841515016
1393249930723008522,1393246224841515016
1393248185905152011,1393246224841515016
1393248075502653443,1393246224841515016
1393247538174562308,1393247371597803522
1393247451478302730,1393246224841515016
1393247266320773122,1393246224841515016
1393247115409723398,1393246224841515016
1393247104219246592,1393246224841515016
1393247022606536711,1393246224841515016
1393246961239609349,1393246224841515016
1393246828406050817,1393246224841515016
1393246764174495747,1393246224841515016
1393246762316361729,1393246224841515016
1393246753722310657,1393246224841515016
1393246686453977089,1393246224841515016
1393246668183670792,1393246224841515016
1393246517826228225,1393246224841515016
1393246459487670274,1393246224841515016
1393246416445661184,1393246224841515016
1393246359361245189,1393246224841515016
1393246350058217477,1393246224841515016
1393246284706816006,1393246224841515016
1393246337102094338,1393246284706816006
1393246322396844032,1393246224841515016
