source,target
1354174194028867589,1353827296940072961
1354079409649692675,1353827296940072961
1354027131970478081,1353827296940072961
1353906484237668353,1353827296940072961
1353855818601521155,1353855231071834112
1353856452125986816,1353855818601521155
1353855231071834112,1353854817102401537
1353854817102401537,1353829404577820675
1353829404577820675,1353828479184338944
1353847596029276161,1353827296940072961
1353845151857164288,1353827296940072961
1353842127889956867,1353841982750269440
1353842449177784320,1353842127889956867
1353841982750269440,1353827296940072961
1353838243637309440,1353827296940072961
1353838178168414208,1353827296940072961
1353835001868136448,1353827296940072961
1353828151156207616,1353827603573067776
1353832754987864064,1353828151156207616
1353830352234622976,1353827296940072961
1353829677618655233,1353827296940072961
1353828479184338944,1353828000685551616
1353828000685551616,1353827296940072961
1353828285713625089,1353828000685551616
1353828461643780098,1353828285713625089
1353828246077513728,1353827296940072961
1353828244269789184,1353827296940072961
1353827603573067776,1353827296940072961
1353827962752270336,1353827296940072961
1353827915478278146,1353827296940072961
