source,target
1311361669432578050,1311117105450934274
1311432976970862593,1311361669432578050
1311404388401856512,1311117105450934274
1311337203566604295,1311117105450934274
1311331763629760512,1311117105450934274
1311317485283676167,1311117105450934274
1311301271958310917,1311117105450934274
1311268199091113984,1311117105450934274
1311166002961448960,1311117105450934274
1311165934573293568,1311117105450934274
1311164399114162176,1311117105450934274
1311151891229945856,1311117105450934274
1311118084825141249,1311117105450934274
1311147525517185025,1311118084825141249
1311144197097914368,1311117105450934274
1311129801227300864,1311117105450934274
1311128989508030464,1311117105450934274
1311128250354216970,1311117105450934274
1311127582503505921,1311117105450934274
1311126850983415815,1311117105450934274
1311124290788626436,1311117105450934274
1311123960935874565,1311117105450934274
1311122457936490497,1311117105450934274
1311122170924404738,1311117105450934274
1311122137701285889,1311117105450934274
1311122087378145286,1311117105450934274
1311121232948088832,1311117105450934274
1311121181639094279,1311117105450934274
1311120085067747328,1311117105450934274
1311119716577148933,1311117105450934274
1311117807380299776,1311117105450934274
