source,target
1398758527015981059,1387023033655779329
1388354936631611400,1387023033655779329
1388307491868532746,1387023033655779329
1388278040480796672,1387023033655779329
1387174194576756738,1387061116300406787
1388094682085969921,1387174194576756738
1387031682188984321,1387023033655779329
1388093560243826691,1387031682188984321
1387769646644973568,1387659068530073603
1388092770963836928,1387769646644973568
1387026441343221763,1387023484597981185
1388092191512350726,1387026441343221763
1387834498096631808,1387769646644973568
1387871015439634441,1387834498096631808
1387769612230660099,1387746398473498629
1387798847435456512,1387769612230660099
1387659068530073603,1387628660069384193
1387746398473498629,1387531539219730435
1387531539219730435,1387421789576441858
1387628660069384193,1387482106188627968
1387482106188627968,1387344349873246208
1387583802734784515,1387582014367453194
1387610811422568454,1387583802734784515
1387583360281808898,1387582014367453194
1387610473411923968,1387583360281808898
1387610041365110787,1387583802734784515
1387575398448439296,1387330120235552769
1387609709184634881,1387575398448439296
1387609426878554112,1387575398448439296
1387582014367453194,1387575398448439296
1387564757599887361,1387023413328416768
1387583799333113869,1387564757599887361
1387576128911589376,1387126735511109632
1387581195857321986,1387576128911589376
1387126735511109632,1387109590441943041
1387330120235552769,1387109590441943041
1387172711168806913,1387023033655779329
1387565740673445890,1387172711168806913
1387023413328416768,1387023033655779329
1387564005749936131,1387023033655779329
1387560544236937217,1387023033655779329
1387023484597981185,1387023033655779329
1387557361322270730,1387023484597981185
1387421789576441858,1387412492817772553
1387344349873246208,1387295577969336320
1387465473261031424,1387464073667874818
1387475098261725185,1387465473261031424
1387475017294823429,1387465473261031424
1387474806866685957,1387465473261031424
1387474700213919746,1387465473261031424
1387464972184309760,1387463798185988104
1387471336222625792,1387464972184309760
1387464073667874818,1387463798185988104
1387471287077978115,1387464073667874818
1387025889930645504,1387023625631543296
1387466936188026880,1387025889930645504
1387463798185988104,1387420766313062406
1387420766313062406,1387412492817772553
1387463496539852804,1387023033655779329
1387391132955447297,1387192032347754501
1387458337927835650,1387391132955447297
1387449900296720387,1387023033655779329
1387026524092698625,1387023218075131906
1387431675756437504,1387026524092698625
1387430564328878085,1387023033655779329
1387412492817772553,1387408983619641346
1387412290027331584,1387408983619641346
1387419653098688514,1387412290027331584
1387408983619641346,1387404608448909319
1387404608448909319,1387403822880931845
1387403625840906246,1387403056669671429
1387406294508769283,1387403625840906246
1387403822880931845,1387402384385658881
1387402384385658881,1387392931770912768
1387403056669671429,1387402220644278283
1387402220644278283,1387392931770912768
1387392931770912768,1387391696447606784
1387391696447606784,1387391301981818884
1387391301981818884,1387141196649271301
1387141196649271301,1387131979888529408
1387192032347754501,1387141019800637443
1387388873907621888,1387139610849972225
1387390551352348672,1387388873907621888
1387389750320013317,1387139610849972225
1387390391549313031,1387389750320013317
1387139610849972225,1387131979888529408
1387389989772800003,1387139610849972225
1387388102692556804,1387139610849972225
1387038424654401537,1387023033655779329
1387387874249637894,1387038424654401537
1387387293493874691,1387139610849972225
1387367340216573953,1387281469052121088
