source,target
1397684620800450562,1397658800128135178
1432889203378081796,1397684620800450562
1407116176682098688,1396867303468412928
1407117161521369099,1407116176682098688
1407116690568142849,1407116176682098688
1407116069215649801,1396867303468412928
1399964375805485057,1399353724640784391
1400221723723812871,1399964375805485057
1399353724640784391,1399190996194369540
1399354327433551877,1399190996194369540
1399963380501319683,1399354327433551877
1399654945826222080,1396867303468412928
1399190996194369540,1396944518818062336
1396940701087068163,1396867303468412928
1399192696967806985,1396940701087068163
1396944518818062336,1396867303468412928
1399190093512970253,1396867303468412928
1398719477554974723,1396867303468412928
1398475282181406723,1397219925509410817
1398492083095150593,1398475282181406723
1397219925509410817,1397217805443944457
1397728377746886656,1397684620800450562
1397727655974293515,1397684620800450562
1397658800128135178,1396932065640259587
1396932065640259587,1396867303468412928
1397657894821285901,1396944518818062336
1397657100642357256,1396944518818062336
1397656633665372163,1396940701087068163
1396900629507891200,1396867303468412928
1397655884730454027,1396900629507891200
1397655502323130372,1396867303468412928
1397532808298512386,1396867303468412928
1397524710032879625,1396867303468412928
1397522931878531078,1397279992661352451
1397387873842761728,1397280189164527621
1397383203741179909,1397280189164527621
1397382715230490628,1396867303468412928
1397373768830537733,1396867303468412928
1397261897653788672,1397237217492410375
1397341784745906178,1397261897653788672
1397290777932439558,1397237087611523077
1397341507007524865,1397290777932439558
1397315465303793664,1397281493337128965
1397316381713080320,1397315465303793664
1397237087611523077,1396900629507891200
1397247008444923911,1396932065640259587
1397279498215858181,1397247008444923911
1397276516606697473,1396867303468412928
1397275891185618949,1396867303468412928
1397275849691389956,1397253372240072705
1397272741192114179,1397252968081154056
1397272128999858178,1397252968081154056
1397271641575591939,1397253372240072705
1397237217492410375,1396968060142202886
1397255061064097798,1396867303468412928
1397245282027458588,1396867303468412928
1397245948233912327,1397245282027458588
1397245615369818127,1396993278390816775
1397241932187947009,1396993278390816775
1396968060142202886,1396931988435705857
1397236966048026628,1396900629507891200
1396934722278862849,1396867303468412928
1397236863086301188,1396934722278862849
1397236675256913920,1396940701087068163
1397236317499674626,1396940701087068163
1397235290885001219,1396940701087068163
1397235006054014980,1396940701087068163
1397223486809063430,1397016385427894275
1397228245083361291,1397223486809063430
1397226217917591552,1396867303468412928
1397224097944375300,1396867303468412928
1397016385427894275,1396868805071183874
1397217805443944457,1396944518818062336
1397218134277464073,1396900629507891200
1396948004620312577,1396867303468412928
1397218050588528648,1396948004620312577
