source,target
1370869586271305733,1370868451036762116
1371342005129863169,1370869586271305733
1371247695030026241,1370869586271305733
1371339554502889473,1371247695030026241
1370853680887500806,1370843911535562752
1371338283213541376,1370853680887500806
1370855099283734528,1370854741538914306
1371333024349102080,1370855099283734528
1370843911535562752,1370842772576423941
1371332696488689667,1370843911535562752
1371241639352623114,1370856474264621065
1371242292766334976,1371241639352623114
1370856474264621065,1370855893982646287
1371240745814790147,1371240587903516675
1371241102863441924,1371240745814790147
1371240587903516675,1370855249448083457
1370855249448083457,1370854741538914306
1371233135308926979,1371231858017533957
1371237382234599430,1371233135308926979
1371231858017533957,1371230936952541185
1371232804214763521,1371231858017533957
1371231912308531202,1371231858017533957
1371232264856559622,1371231912308531202
1371230936952541185,1371230595125112833
1371230230451429382,1371221866786910221
1371230999649030145,1371230230451429382
1371230595125112833,1371229953438588932
1371230106836901894,1371224756616273921
1371230602041589761,1371230106836901894
1371229953438588932,1371229521081376768
1371221866786910221,1371221197447327746
1371224756616273921,1371224446334201862
1371229521081376768,1371224756616273921
1371229755115114496,1371229521081376768
1371224446334201862,1371221866786910221
1371221197447327746,1371201180555210757
1371201180555210757,1371192378745352192
1371192378745352192,1371191154142711814
1371191154142711814,1371190690890149889
1371191123713032193,1371190690890149889
1371192224159997955,1371191123713032193
1371191733409619973,1371191123713032193
1371191472767254534,1371191123713032193
1371190690890149889,1371173774813401089
1371173774813401089,1371139545815654403
1371139545815654403,1371013843342684162
1371013843342684162,1370938009365848068
1370938009365848068,1370935960704221185
1370981727556886529,1370978221915660288
1370986340611887113,1370981727556886529
1370978221915660288,1370975480166326272
1370981498531155971,1370978221915660288
1370975480166326272,1370972653482217474
1370972653482217474,1370971323816574977
1370971323816574977,1370969344243499008
1370969344243499008,1370967472174632962
1370970902234497029,1370969344243499008
1370967472174632962,1370965641910394886
1370965641910394886,1370961563725692928
1370961563725692928,1370958175801798661
1370958175801798661,1370940787618238470
1370940787618238470,1370938009365848068
1370935960704221185,1370935546424356866
1370935546424356866,1370934618980020225
1370934618980020225,1370933159014002693
1370933159014002693,1370858417254854656
1370935535242338308,1370933159014002693
1370935361732374532,1370933159014002693
1370858417254854656,1370854741538914306
1370913615201529856,1370853149519515650
1370914194107731974,1370913615201529856
1370853149519515650,1370846229354057729
1370828574765289472,1370828573876060166
1370893848516395008,1370828574765289472
1370892405067632643,1370843911535562752
1370868451036762116,1370856807015538689
1370856807015538689,1370834093697593347
1370859900788703240,1370857100117635078
1370860184063594500,1370859900788703240
1370857100117635078,1370854869213573127
1370854741538914306,1370854474349047808
1370855995333808133,1370855589966872577
1370857298243899393,1370855995333808133
1370857170758217730,1370843911535562752
1370854869213573127,1370854569417265154
1370834093697593347,1370833437855256579
1370856512298627072,1370855995333808133
1370855893982646287,1370854741538914306
1370855895849050112,1370854939443011585
1370856106264834051,1370855895849050112
1370855589966872577,1370854795385376768
1370854939443011585,1370854158597693440
1370855846461116417,1370843911535562752
1370855749581217795,1370855249448083457
1370855714588143618,1370855589966872577
1370854795385376768,1370854474349047808
1370855277264736257,1370854939443011585
1370855093227098113,1370843911535562752
1370854158597693440,1370843911535562752
1370854569417265154,1370854261890908163
1370854675033989121,1370854158597693440
1370854848623734792,1370854675033989121
1370854474349047808,1370853840807817216
1370854693392543750,1370854474349047808
1370854261890908163,1370853500293279746
1370854603902889989,1370854261890908163
1370853840807817216,1370853680887500806
1370854354337550339,1370853840807817216
1370853500293279746,1370853290406215689
1370854114020585473,1370853500293279746
1370853290406215689,1370852309446533120
1370853142796013571,1370852309446533120
1370853417095196682,1370853142796013571
1370852309446533120,1370850375859834883
1370846229354057729,1370828574765289472
1370852957005185026,1370852465613082627
1370851558968156170,1370850722141585418
1370852719175507969,1370851558968156170
1370850375859834883,1370850034036670475
1370852126851747850,1370828573876060166
1370850722141585418,1370850375859834883
1370850034036670475,1370843861522640896
1370843861522640896,1370841579594809344
1370834186156666882,1370828574765289472
1370849852201009153,1370834186156666882
1370847044118716421,1370846702320680962
1370847684077178884,1370847044118716421
1370840996032913412,1370840667333795842
1370847427889147917,1370840996032913412
1370847209827266563,1370846229354057729
1370846702320680962,1370839920009428994
1370847011927437312,1370840996032913412
1370839920009428994,1370839409814294531
1370841018992635905,1370840704151285761
1370846630128287746,1370841018992635905
1370840704151285761,1370839276510928908
1370846436410195970,1370840704151285761
1370844713608183809,1370843911535562752
1370842772576423941,1370832338117136387
1370841579594809344,1370839044897173505
1370832338117136387,1370831901477376001
1370839044897173505,1370837220790312971
1370841486108065797,1370840996032913412
1370840667333795842,1370840062326366208
1370837220790312971,1370836902019014657
1370840948725321728,1370837220790312971
1370839276510928908,1370838942325501952
1370840062326366208,1370838942325501952
1370839911285231617,1370836902019014657
1370840110632206340,1370839911285231617
1370838942325501952,1370838122838261761
1370839409814294531,1370839123783774208
1370836902019014657,1370836675841114116
1370839688215465996,1370839360279609349
