source,target
1382567070055997441,1381982789852008456
1382557977450717189,1382468459573940225
1382560723490988039,1382557977450717189
1382468459573940225,1382465346662141956
1382466282923065346,1382465754654593024
1382536873114021888,1382466282923065346
1382533094691979265,1382466474254630916
1382517064485769217,1381982789852008456
1382517155695108103,1382517064485769217
1382466693415440385,1382465933243949058
1382476039750705156,1382466693415440385
1382465346662141956,1382457946852982785
1382465933243949058,1382449102403862534
1382465754654593024,1381982789852008456
1382452299952455684,1382447081386758144
1382466091763396612,1382452299952455684
1382449102403862534,1382447081386758144
1382056801055744007,1381982789852008456
1382465437837844484,1382056801055744007
1382457946852982785,1381982789852008456
1382462196135956480,1381982789852008456
1382447081386758144,1381982789852008456
1382450802728534017,1381982789852008456
1382153654896107521,1381982789852008456
1382006039403450371,1381982789852008456
