source,target
1268257233546199041,1268246524431122439
1268308498695282688,1268257233546199041
1268246524431122439,1268208950547185671
1268208950547185671,1268206477065551872
1268209644285112323,1268208950547185671
1268209691001307144,1268209644285112323
1268206477065551872,1268104228356194305
1268202556603408386,1268104228356194305
1268127441618440194,1268106977265278976
1268129138801598464,1268127441618440194
1268106977265278976,1268106505116622848
1268106505116622848,1268105208334356482
1268105208334356482,1268104228356194305
