source,target
1389650384457699329,1387857971594543107
1389620260517695494,1387857971594543107
1389296218979852295,1389273747476058113
1389366172408242183,1389296218979852295
1389273747476058113,1389270912818716676
1389291653509308419,1389273747476058113
1389267117837627395,1389266620359614472
1389274056038535171,1389267117837627395
1389270912818716676,1389266832515862530
1389266832515862530,1389244910222589961
1389266620359614472,1389244152026652677
1389244910222589961,1389242570258239489
1389244152026652677,1389242570258239489
1389242570258239489,1388834932697468930
1388834932697468930,1388801688610512897
1389242005696491520,1388834932697468930
1388801688610512897,1387860389493460992
1387860389493460992,1387857971594543107
1388800938543046657,1387857971594543107
1388550108174823431,1387878436505534466
1388558327165112321,1388550108174823431
1388549822597189636,1388547492552355842
1388546782720937991,1388545300290224128
1388543274479128576,1388533852814123012
1388528346808655875,1388524278656782340
1388523339413659650,1388518063285354497
1388516642188152835,1388516128771780609
1388509832651624453,1388102720071077895
1388460640046620677,1388115027790532608
1388455568835239938,1387857971594543107
1388426927971749896,1388426312352677888
1388427480902651904,1388426927971749896
1388426312352677888,1388425775452409856
1388425775452409856,1388425090841391108
1388425090841391108,1388423098706403329
1388423098706403329,1388422427735101442
1388422427735101442,1388421897747156992
1388421897747156992,1388293749118279690
1388293749118279690,1387867226502569993
1387858406636150787,1387857971594543107
1388382590470610949,1387858406636150787
1387867226502569993,1387865842709405701
1388253819528695810,1387895706665553920
1388261758016569345,1388253819528695810
1387862210085523456,1387859360999743491
1388254469201309699,1387862210085523456
1387895706665553920,1387857971594543107
1388196234419216392,1387857971594543107
1388253128202625024,1388196234419216392
1388228257552773121,1387860389493460992
1387894958892388353,1387891563972411396
1388216575539482624,1387894958892388353
1388186894861840387,1387857971594543107
1388150525561036804,1388142637899821058
1388052058574663682,1388044599839576068
1388115060531384320,1388052058574663682
1388099516637892609,1387857971594543107
1388098036925087745,1387857971594543107
1388095449073135620,1387860389493460992
1388088934098427908,1388084462026698753
1388086486105473024,1388081987194400768
1388088564626477059,1388086486105473024
1388082788621037577,1387878436505534466
1388076192633442306,1387860389493460992
1388081987194400768,1388076192633442306
1388078420572180484,1387857971594543107
1388069152456327168,1387857971594543107
1388054782053691393,1387857971594543107
1388046967121514498,1387872480119906305
1388047243270295554,1388046967121514498
1388037177368616960,1387878436505534466
1388020573440253952,1387857971594543107
1387868202970066948,1387862617704775680
1387984143582179362,1387868202970066948
1387954816933109762,1387878436505534466
1387953870014406661,1387857971594543107
1387954482168967168,1387953870014406661
1387935705880539136,1387857971594543107
1387916242992906241,1387857971594543107
1387913205851344901,1387857971594543107
1387910399530520583,1387857971594543107
1387903652514381827,1387879007174205442
1387900694028488707,1387894958892388353
1387896978609160199,1387895398736465932
1387895504235765763,1387857971594543107
1387891563972411396,1387889004012519426
1387894297605857283,1387889004012519426
1387888426322698242,1387887725999706117
1387887147194142725,1387886183389274112
1387885673844199425,1387884287496687616
1387883796138237960,1387882713571631107
1387883765024890881,1387857971594543107
1387881999906582531,1387857971594543107
1387881134177062912,1387857971594543107
1387878982041972741,1387878269236695047
1387879536017170435,1387878982041972741
1387878269236695047,1387867226502569993
1387873540456734722,1387857971594543107
1387862617704775680,1387860389493460992
1387873528591134721,1387862617704775680
1387869245086830594,1387857971594543107
1387868691812032517,1387868028650594313
1387868473246748677,1387857971594543107
1387862739993907212,1387857971594543107
1387859360999743491,1387857971594543107
1387860724358205444,1387857971594543107
1387858301371703307,1387857971594543107
