source,target
1300420193190129664,1300401392952258561
1300379575722049537,1300299144435773441
1300315706680946689,1300299144435773441
1300313747974533124,1300299144435773441
1300313404767236096,1300299144435773441
1300299966737457154,1300299144435773441
1300303273354768384,1300299966737457154
1300303135244775426,1300299144435773441
1300302042347438083,1300299144435773441
1300301117260206081,1300299144435773441
1300300173667700736,1300299144435773441
1300300018310475776,1300299144435773441
