Source,Target,Type,Id,Label,timeset,Weight
5623115105686957502,1643463295570116832,Directed,0,,,1
5623115105686957502,3949633040183525282,Directed,1,,,1
5623115105686957502,1090143777790538129,Directed,2,,,1
39566363689295785,5623115105686957502,Directed,3,,,1
15615216428349013485,5623115105686957502,Directed,4,,,1
QoNm5rQjCcEJ,5623115105686957502,Directed,5,,,1
1335342494419187770,1247650875323274830,Directed,6,,,1
1335342494419187770,1953573005909947035,Directed,7,,,1
1335342494419187770,10530946631850852036,Directed,8,,,1
14337394264442923064,1335342494419187770,Directed,9,,,1
13158016896546413482,1335342494419187770,Directed,10,,,1
16933850326634573931,1335342494419187770,Directed,11,,,1
LqUsJNmjAnkJ,1335342494419187770,Directed,12,,,1
932529815590540910,1335342494419187770,Directed,13,,,1
16138502794860785047,1335342494419187770,Directed,14,,,1
16702266159487245255,1335342494419187770,Directed,15,,,1
14368621682944950646,1335342494419187770,Directed,16,,,1
17938949939965260934,1335342494419187770,Directed,17,,,1
17938949939965260934,13591252469910258212,Directed,18,,,1
17938949939965260934,4325148761311381039,Directed,19,,,1
18185783756562454816,1643463295570116832,Directed,20,,,1
18185783756562454816,17419220877628438166,Directed,21,,,1
13322551366454370536,1643463295570116832,Directed,22,,,1
6125301899722643839,1643463295570116832,Directed,23,,,1
9202871514513747919,1643463295570116832,Directed,24,,,1
14113260442451114387,1643463295570116832,Directed,25,,,1
9100375786839307756,1643463295570116832,Directed,26,,,1
11128823227473860269,1643463295570116832,Directed,27,,,1
9470309127828873064,1643463295570116832,Directed,28,,,1
184719933659126127,1643463295570116832,Directed,29,,,1
14984165473430297556,1643463295570116832,Directed,30,,,1
14984165473430297556,2509259868260710821,Directed,31,,,1
2417395992096232546,1643463295570116832,Directed,32,,,1
2417395992096232546,17690088630266840742,Directed,33,,,1
12635390774851772880,1643463295570116832,Directed,34,,,1
15172417902665633894,1643463295570116832,Directed,35,,,1
418266847170770853,1643463295570116832,Directed,36,,,1
5453914089124037913,1643463295570116832,Directed,37,,,1
5453914089124037913,2078824219152959371,Directed,38,,,1
5453914089124037913,3691047098252454912,Directed,39,,,1
5453914089124037913,11923733662165296462,Directed,40,,,1
5453914089124037913,15865308921224146003,Directed,41,,,1
1849204435978688911,1643463295570116832,Directed,42,,,1
15379478959264863328,1643463295570116832,Directed,43,,,1
11467986508925612368,1643463295570116832,Directed,44,,,1
10224923614232108670,1643463295570116832,Directed,45,,,1
16397026794656881699,1643463295570116832,Directed,46,,,1
7565561135015406480,1643463295570116832,Directed,47,,,1
12133959501177785082,1643463295570116832,Directed,48,,,1
6239621293047403272,1643463295570116832,Directed,49,,,1
1337904658858441362,1643463295570116832,Directed,50,,,1
3250953019662562263,1643463295570116832,Directed,51,,,1
650645137134302302,1643463295570116832,Directed,52,,,1
aNsuFZiQaUkJ,1643463295570116832,Directed,53,,,1
